start...
Epoch: 1 / 5000, Score: -500,  block: 17,  Reward: -6823.0 Cleared lines: 0
Epoch: 2 / 5000, Score: -500,  block: 18,  Reward: -6575.0 Cleared lines: 0
Epoch: 3 / 5000, Score: -500,  block: 17,  Reward: -6230.0 Cleared lines: 0
Epoch: 4 / 5000, Score: -500,  block: 15,  Reward: -5937.0 Cleared lines: 0
Epoch: 5 / 5000, Score: -500,  block: 21,  Reward: -7191.0 Cleared lines: 0
Epoch: 6 / 5000, Score: -500,  block: 22,  Reward: -6230.0 Cleared lines: 0
Epoch: 7 / 5000, Score: -400,  block: 31,  Reward: -6224.0 Cleared lines: 1
Epoch: 8 / 5000, Score: -400,  block: 34,  Reward: -7076.0 Cleared lines: 1
Epoch: 9 / 5000, Score: 0,  block: 43,  Reward: -6691.0 Cleared lines: 5
Epoch: 10 / 5000, Score: -500,  block: 30,  Reward: -6425.0 Cleared lines: 0
Epoch: 11 / 5000, Score: -200,  block: 40,  Reward: -6839.0 Cleared lines: 3
Epoch: 12 / 5000, Score: -500,  block: 23,  Reward: -6763.0 Cleared lines: 0
Epoch: 13 / 5000, Score: -300,  block: 39,  Reward: -6569.0 Cleared lines: 2
Epoch: 14 / 5000, Score: -500,  block: 33,  Reward: -6577.0 Cleared lines: 0
Epoch: 15 / 5000, Score: -200,  block: 38,  Reward: -7491.0 Cleared lines: 3
Epoch: 16 / 5000, Score: -500,  block: 27,  Reward: -6449.0 Cleared lines: 0
Epoch: 17 / 5000, Score: -500,  block: 30,  Reward: -6460.0 Cleared lines: 0
Epoch: 18 / 5000, Score: -100,  block: 37,  Reward: -6327.0 Cleared lines: 4
Epoch: 19 / 5000, Score: -300,  block: 35,  Reward: -6706.0 Cleared lines: 2
Epoch: 20 / 5000, Score: -100,  block: 42,  Reward: -6976.0 Cleared lines: 4
Epoch: 21 / 5000, Score: -400,  block: 43,  Reward: -6862.0 Cleared lines: 1
Epoch: 22 / 5000, Score: -500,  block: 35,  Reward: -6717.0 Cleared lines: 0
Epoch: 23 / 5000, Score: -200,  block: 44,  Reward: -6877.0 Cleared lines: 3
Epoch: 24 / 5000, Score: -300,  block: 41,  Reward: -6600.0 Cleared lines: 2
Epoch: 25 / 5000, Score: 100,  block: 49,  Reward: -6700.0 Cleared lines: 6
Epoch: 26 / 5000, Score: 200,  block: 41,  Reward: -5674.0 Cleared lines: 6
Epoch: 27 / 5000, Score: 100,  block: 46,  Reward: -5806.0 Cleared lines: 6
Epoch: 28 / 5000, Score: -500,  block: 24,  Reward: -6577.0 Cleared lines: 0
Epoch: 29 / 5000, Score: -200,  block: 39,  Reward: -6776.0 Cleared lines: 3
Epoch: 30 / 5000, Score: -500,  block: 29,  Reward: -6480.0 Cleared lines: 0
Epoch: 31 / 5000, Score: -300,  block: 37,  Reward: -7002.0 Cleared lines: 2
Epoch: 32 / 5000, Score: -400,  block: 28,  Reward: -5850.0 Cleared lines: 1
Epoch: 33 / 5000, Score: -400,  block: 34,  Reward: -6481.0 Cleared lines: 1
Epoch: 34 / 5000, Score: -400,  block: 31,  Reward: -6254.0 Cleared lines: 1
Epoch: 35 / 5000, Score: -400,  block: 34,  Reward: -6342.0 Cleared lines: 1
Epoch: 36 / 5000, Score: -300,  block: 41,  Reward: -6551.0 Cleared lines: 2
Epoch: 37 / 5000, Score: -500,  block: 30,  Reward: -6291.0 Cleared lines: 0
Epoch: 38 / 5000, Score: -300,  block: 34,  Reward: -6078.0 Cleared lines: 2
Epoch: 39 / 5000, Score: -300,  block: 39,  Reward: -6294.0 Cleared lines: 2
Epoch: 40 / 5000, Score: 0,  block: 46,  Reward: -6292.0 Cleared lines: 5
Epoch: 41 / 5000, Score: 100,  block: 43,  Reward: -5959.0 Cleared lines: 5
Epoch: 42 / 5000, Score: -300,  block: 35,  Reward: -5924.0 Cleared lines: 2
Epoch: 43 / 5000, Score: -400,  block: 32,  Reward: -6514.0 Cleared lines: 1
