start...
Finetuning mode
Load outputs/2022-08-16-10-39-38/trained_model/tetris_epoch3_score162900.pt...
Epoch: 1 / 3000, Score: 148700,  block: 3001,  Reward: -1.9 Cleared lines: 1197, col: 773/187/14/2 
Epoch: 2 / 3000, Score: 154900,  block: 3001,  Reward: 3.7 Cleared lines: 1197, col: 763/178/22/3 
Epoch: 3 / 3000, Score: 10400,  block: 281,  Reward: -2.5 Cleared lines: 96, col: 53/17/3/0 
Epoch: 4 / 3000, Score: 123300,  block: 2432,  Reward: -4.0 Cleared lines: 957, col: 573/160/20/1 
Epoch: 5 / 3000, Score: 157700,  block: 3001,  Reward: -8.9 Cleared lines: 1199, col: 746/187/21/4 
Epoch: 6 / 3000, Score: 82600,  block: 1640,  Reward: -9.6 Cleared lines: 639, col: 409/97/8/3 
Epoch: 7 / 3000, Score: 153900,  block: 3001,  Reward: -2.8 Cleared lines: 1192, col: 738/183/28/1 
Epoch: 8 / 3000, Score: 154100,  block: 3001,  Reward: -3.1 Cleared lines: 1198, col: 755/187/19/3 
Epoch: 9 / 3000, Score: 113200,  block: 2246,  Reward: -6.7 Cleared lines: 883, col: 568/128/17/2 
Epoch: 10 / 3000, Score: 158400,  block: 3001,  Reward: 0.8 Cleared lines: 1199, col: 756/183/19/5 
Epoch: 11 / 3000, Score: 156200,  block: 3001,  Reward: -1.9 Cleared lines: 1197, col: 788/162/23/4 
Epoch: 12 / 3000, Score: 107400,  block: 2193,  Reward: -9.9 Cleared lines: 860, col: 552/135/10/2 
Epoch: 13 / 3000, Score: 26900,  block: 630,  Reward: -2.6 Cleared lines: 235, col: 149/37/4/0 
Epoch: 14 / 3000, Score: 34300,  block: 668,  Reward: -3.7 Cleared lines: 251, col: 166/32/3/3 
Epoch: 15 / 3000, Score: 137700,  block: 2814,  Reward: -3.3 Cleared lines: 1111, col: 711/174/16/1 
Epoch: 16 / 3000, Score: 149300,  block: 3001,  Reward: -4.8 Cleared lines: 1196, col: 770/181/20/1 
Epoch: 17 / 3000, Score: 71300,  block: 1460,  Reward: -11.1 Cleared lines: 569, col: 359/88/10/1 
Epoch: 18 / 3000, Score: 150900,  block: 3001,  Reward: -6.0 Cleared lines: 1197, col: 732/202/19/1 
Epoch: 19 / 3000, Score: 40600,  block: 827,  Reward: -5.4 Cleared lines: 313, col: 196/43/9/1 
Epoch: 20 / 3000, Score: 107300,  block: 2078,  Reward: -3.0 Cleared lines: 816, col: 494/130/18/2 
Epoch: 21 / 3000, Score: 151000,  block: 3001,  Reward: 2.3 Cleared lines: 1197, col: 760/193/13/3 
Epoch: 22 / 3000, Score: 148100,  block: 3001,  Reward: -2.4 Cleared lines: 1197, col: 770/186/17/1 
Epoch: 23 / 3000, Score: 36900,  block: 790,  Reward: -10.1 Cleared lines: 301, col: 189/48/4/1 
Epoch: 24 / 3000, Score: 153600,  block: 3001,  Reward: 1.3 Cleared lines: 1198, col: 771/183/15/4 
Epoch: 25 / 3000, Score: 160600,  block: 3001,  Reward: -9.4 Cleared lines: 1198, col: 727/194/21/5 
