start...
Finetuning mode
Load outputs/2022-09-10-11-12-34/trained_model/tetris_epoch110_score26900.pt...
Epoch: 54 / 100000, Score: 13700,  block: 301,  Reward: -132.3326 Cleared lines: 116, col: 74/18/2/0 
Epoch: 55 / 100000, Score: 14900,  block: 301,  Reward: -115.2116 Cleared lines: 121, col: 75/17/4/0 
Epoch: 56 / 100000, Score: 14100,  block: 301,  Reward: -162.4184 Cleared lines: 121, col: 76/21/1/0 
Epoch: 57 / 100000, Score: 14900,  block: 301,  Reward: -131.6792 Cleared lines: 122, col: 68/24/2/0 
Epoch: 58 / 100000, Score: 14500,  block: 301,  Reward: -93.1633 Cleared lines: 121, col: 78/17/3/0 
Epoch: 59 / 100000, Score: 15200,  block: 301,  Reward: -122.9083 Cleared lines: 122, col: 72/19/4/0 
Epoch: 60 / 100000, Score: 15200,  block: 301,  Reward: -149.8229 Cleared lines: 122, col: 72/19/4/0 
Epoch: 61 / 100000, Score: 15900,  block: 301,  Reward: -128.1054 Cleared lines: 120, col: 61/23/3/1 
Epoch: 62 / 100000, Score: 16000,  block: 301,  Reward: -120.2902 Cleared lines: 122, col: 70/18/4/1 
Epoch: 63 / 100000, Score: 14200,  block: 301,  Reward: -101.7046 Cleared lines: 120, col: 76/19/2/0 
Epoch: 64 / 100000, Score: 14100,  block: 301,  Reward: -142.5795 Cleared lines: 122, col: 84/16/2/0 
Epoch: 65 / 100000, Score: 13400,  block: 301,  Reward: -107.4511 Cleared lines: 122, col: 88/17/0/0 
Epoch: 66 / 100000, Score: 7000,  block: 186,  Reward: -150.2032 Cleared lines: 65, col: 50/6/1/0 
Epoch: 67 / 100000, Score: 14300,  block: 301,  Reward: -138.7893 Cleared lines: 121, col: 77/19/2/0 
Epoch: 68 / 100000, Score: 15300,  block: 301,  Reward: -124.9314 Cleared lines: 120, col: 74/14/6/0 
Epoch: 69 / 100000, Score: 15500,  block: 301,  Reward: -119.4430 Cleared lines: 122, col: 66/22/4/0 
Epoch: 70 / 100000, Score: 14700,  block: 301,  Reward: -198.9451 Cleared lines: 120, col: 66/24/2/0 
Epoch: 71 / 100000, Score: 16100,  block: 301,  Reward: -149.3942 Cleared lines: 121, col: 60/24/3/1 
Epoch: 72 / 100000, Score: 200,  block: 44,  Reward: -40.1575 Cleared lines: 6, col: 4/1/0/0 
Epoch: 73 / 100000, Score: 15400,  block: 301,  Reward: -141.1600 Cleared lines: 119, col: 78/11/5/1 
Epoch: 74 / 100000, Score: 15400,  block: 301,  Reward: -154.4016 Cleared lines: 121, col: 55/30/2/0 
Epoch: 75 / 100000, Score: 14200,  block: 301,  Reward: -112.2120 Cleared lines: 122, col: 77/21/1/0 
Epoch: 76 / 100000, Score: 14800,  block: 301,  Reward: -158.4297 Cleared lines: 123, col: 73/22/2/0 
Epoch: 77 / 100000, Score: 13600,  block: 301,  Reward: -134.5076 Cleared lines: 119, col: 80/18/1/0 
Epoch: 78 / 100000, Score: 14000,  block: 301,  Reward: -127.4436 Cleared lines: 121, col: 73/24/0/0 
Epoch: 79 / 100000, Score: 1500,  block: 53,  Reward: -46.7444 Cleared lines: 11, col: 7/0/0/1 
Epoch: 80 / 100000, Score: 14400,  block: 301,  Reward: -148.0965 Cleared lines: 121, col: 75/20/2/0 
Epoch: 81 / 100000, Score: 15700,  block: 301,  Reward: -128.9602 Cleared lines: 118, col: 65/16/7/0 
Epoch: 82 / 100000, Score: 13900,  block: 301,  Reward: -102.0318 Cleared lines: 116, col: 75/16/3/0 
Epoch: 83 / 100000, Score: 14900,  block: 301,  Reward: -144.0424 Cleared lines: 118, col: 61/24/3/0 
