start...
Finetuning mode
Load outputs/2022-09-03-13-05-06/trained_model/tetris_epoch6390_score16800.pt...
Epoch: 1 / 100000, Score: 11700,  block: 230,  Reward: 1290.8705 Cleared lines: 79, col: 36/13/3/2 
Epoch: 2 / 100000, Score: 17300,  block: 301,  Reward: 1538.3215 Cleared lines: 119, col: 54/21/5/2 
Epoch: 3 / 100000, Score: 21200,  block: 301,  Reward: 1656.0515 Cleared lines: 119, col: 42/16/7/6 
Epoch: 4 / 100000, Score: 18700,  block: 301,  Reward: 1756.3548 Cleared lines: 119, col: 50/18/7/3 
Epoch: 5 / 100000, Score: 21300,  block: 301,  Reward: 1537.5698 Cleared lines: 118, col: 41/17/5/7 
Epoch: 6 / 100000, Score: 19300,  block: 301,  Reward: 1563.2708 Cleared lines: 120, col: 50/18/6/4 
Epoch: 7 / 100000, Score: 15400,  block: 301,  Reward: 1460.3198 Cleared lines: 116, col: 60/19/6/0 
Epoch: 8 / 100000, Score: 6900,  block: 160,  Reward: 909.8197 Cleared lines: 51, col: 24/10/1/1 
Epoch: 9 / 100000, Score: 8000,  block: 166,  Reward: 953.1629 Cleared lines: 53, col: 22/10/1/2 
Epoch: 10 / 100000, Score: 17300,  block: 301,  Reward: 1596.4283 Cleared lines: 115, col: 51/20/4/3 
Epoch: 11 / 100000, Score: 18700,  block: 301,  Reward: 1588.8938 Cleared lines: 115, col: 47/17/6/4 
Epoch: 12 / 100000, Score: 21100,  block: 301,  Reward: 1626.9485 Cleared lines: 117, col: 38/17/7/6 
Epoch: 13 / 100000, Score: 3900,  block: 124,  Reward: 922.4203 Cleared lines: 36, col: 25/4/1/0 
Epoch: 14 / 100000, Score: 16100,  block: 301,  Reward: 1847.1347 Cleared lines: 112, col: 57/16/5/2 
Epoch: 15 / 100000, Score: 3800,  block: 110,  Reward: 652.1577 Cleared lines: 31, col: 21/3/0/1 
Epoch: 16 / 100000, Score: 7600,  block: 153,  Reward: 900.5732 Cleared lines: 48, col: 20/7/2/2 
Epoch: 17 / 100000, Score: 17900,  block: 301,  Reward: 1868.1520 Cleared lines: 117, col: 50/20/5/3 
Epoch: 18 / 100000, Score: 18800,  block: 301,  Reward: 1672.8825 Cleared lines: 117, col: 43/18/10/2 
Epoch: 19 / 100000, Score: 10600,  block: 211,  Reward: 1559.1505 Cleared lines: 71, col: 33/13/0/3 
Epoch: 20 / 100000, Score: 19200,  block: 301,  Reward: 1594.1617 Cleared lines: 117, col: 44/17/9/3 
Epoch: 21 / 100000, Score: 19500,  block: 301,  Reward: 1660.8312 Cleared lines: 112, col: 37/16/9/4 
Epoch: 22 / 100000, Score: 18500,  block: 301,  Reward: 1543.5365 Cleared lines: 113, col: 47/11/12/2 
Epoch: 23 / 100000, Score: 8600,  block: 161,  Reward: 931.3535 Cleared lines: 51, col: 19/6/4/2 
Epoch: 24 / 100000, Score: 14800,  block: 301,  Reward: 1835.2748 Cleared lines: 115, col: 63/21/2/1 
Epoch: 25 / 100000, Score: 15800,  block: 299,  Reward: 1515.3798 Cleared lines: 107, col: 48/18/5/2 
