start...
Epoch: 1 / 10000, Score: -1300,  block: 25,  Reward: -0.9143 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 10000, Score: -1300,  block: 25,  Reward: -0.9340 Cleared lines: 0, col: 0/0/0/0 
Epoch: 3 / 10000, Score: -1300,  block: 25,  Reward: -0.9294 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 10000, Score: -1300,  block: 26,  Reward: -0.9154 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 10000, Score: -1300,  block: 21,  Reward: -0.9053 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 10000, Score: -1300,  block: 18,  Reward: -0.9160 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 10000, Score: -1300,  block: 18,  Reward: -0.9358 Cleared lines: 0, col: 0/0/0/0 
Epoch: 8 / 10000, Score: -1300,  block: 22,  Reward: -0.9261 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 10000, Score: -1200,  block: 33,  Reward: -0.8188 Cleared lines: 1, col: 1/0/0/0 
Epoch: 10 / 10000, Score: -1300,  block: 20,  Reward: -0.9543 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 10000, Score: -1300,  block: 28,  Reward: -0.9425 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 10000, Score: -1300,  block: 22,  Reward: -0.9137 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 10000, Score: -1300,  block: 25,  Reward: -0.9457 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 10000, Score: -1300,  block: 18,  Reward: -0.9699 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 10000, Score: -1300,  block: 17,  Reward: -0.9217 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 10000, Score: -1300,  block: 23,  Reward: -0.9262 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 10000, Score: -1300,  block: 21,  Reward: -0.9289 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 10000, Score: -1300,  block: 17,  Reward: -0.9633 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 10000, Score: -1300,  block: 20,  Reward: -0.9327 Cleared lines: 0, col: 0/0/0/0 
Epoch: 20 / 10000, Score: -1300,  block: 16,  Reward: -0.9441 Cleared lines: 0, col: 0/0/0/0 
Epoch: 21 / 10000, Score: -1300,  block: 18,  Reward: -0.9407 Cleared lines: 0, col: 0/0/0/0 
Epoch: 22 / 10000, Score: -1300,  block: 23,  Reward: -0.9257 Cleared lines: 0, col: 0/0/0/0 
Epoch: 23 / 10000, Score: -1300,  block: 18,  Reward: -0.9386 Cleared lines: 0, col: 0/0/0/0 
Epoch: 24 / 10000, Score: -1300,  block: 20,  Reward: -0.9371 Cleared lines: 0, col: 0/0/0/0 
Epoch: 25 / 10000, Score: -1300,  block: 27,  Reward: -0.9176 Cleared lines: 0, col: 0/0/0/0 
Epoch: 26 / 10000, Score: -1300,  block: 22,  Reward: -0.9027 Cleared lines: 0, col: 0/0/0/0 
Epoch: 27 / 10000, Score: -1300,  block: 16,  Reward: -0.9492 Cleared lines: 0, col: 0/0/0/0 
Epoch: 28 / 10000, Score: -1300,  block: 26,  Reward: -0.9127 Cleared lines: 0, col: 0/0/0/0 
Epoch: 29 / 10000, Score: -1300,  block: 23,  Reward: -0.9463 Cleared lines: 0, col: 0/0/0/0 
Epoch: 30 / 10000, Score: -1300,  block: 17,  Reward: -0.9482 Cleared lines: 0, col: 0/0/0/0 
Epoch: 31 / 10000, Score: -1300,  block: 24,  Reward: -0.9098 Cleared lines: 0, col: 0/0/0/0 
Epoch: 32 / 10000, Score: -1300,  block: 12,  Reward: -0.9653 Cleared lines: 0, col: 0/0/0/0 
Epoch: 33 / 10000, Score: -1300,  block: 26,  Reward: -0.9732 Cleared lines: 0, col: 0/0/0/0 
Epoch: 34 / 10000, Score: -1300,  block: 23,  Reward: -0.9510 Cleared lines: 0, col: 0/0/0/0 
Epoch: 35 / 10000, Score: -1300,  block: 29,  Reward: -0.9028 Cleared lines: 0, col: 0/0/0/0 
Epoch: 36 / 10000, Score: -1300,  block: 23,  Reward: -0.9249 Cleared lines: 0, col: 0/0/0/0 
Epoch: 37 / 10000, Score: -1300,  block: 15,  Reward: -0.9408 Cleared lines: 0, col: 0/0/0/0 
Epoch: 38 / 10000, Score: -1300,  block: 28,  Reward: -0.8830 Cleared lines: 0, col: 0/0/0/0 
Epoch: 39 / 10000, Score: -1300,  block: 15,  Reward: -0.9362 Cleared lines: 0, col: 0/0/0/0 
Epoch: 40 / 10000, Score: -1300,  block: 26,  Reward: -0.9250 Cleared lines: 0, col: 0/0/0/0 
Epoch: 41 / 10000, Score: -1300,  block: 24,  Reward: -0.9504 Cleared lines: 0, col: 0/0/0/0 
Epoch: 42 / 10000, Score: -1300,  block: 23,  Reward: -0.9530 Cleared lines: 0, col: 0/0/0/0 
Epoch: 43 / 10000, Score: -1300,  block: 25,  Reward: -0.9247 Cleared lines: 0, col: 0/0/0/0 
Epoch: 44 / 10000, Score: -1300,  block: 24,  Reward: -0.8820 Cleared lines: 0, col: 0/0/0/0 
Epoch: 45 / 10000, Score: -1300,  block: 19,  Reward: -0.9569 Cleared lines: 0, col: 0/0/0/0 
Epoch: 46 / 10000, Score: -1300,  block: 22,  Reward: -0.9548 Cleared lines: 0, col: 0/0/0/0 
Epoch: 47 / 10000, Score: -1300,  block: 22,  Reward: -0.9466 Cleared lines: 0, col: 0/0/0/0 
Epoch: 48 / 10000, Score: -1300,  block: 29,  Reward: -0.9219 Cleared lines: 0, col: 0/0/0/0 
Epoch: 49 / 10000, Score: -1300,  block: 27,  Reward: -0.9113 Cleared lines: 0, col: 0/0/0/0 
Epoch: 50 / 10000, Score: -1300,  block: 26,  Reward: -0.9546 Cleared lines: 0, col: 0/0/0/0 
Epoch: 51 / 10000, Score: -1300,  block: 24,  Reward: -0.9033 Cleared lines: 0, col: 0/0/0/0 
Epoch: 52 / 10000, Score: -1300,  block: 22,  Reward: -0.9069 Cleared lines: 0, col: 0/0/0/0 
Epoch: 53 / 10000, Score: -1300,  block: 18,  Reward: -0.9457 Cleared lines: 0, col: 0/0/0/0 
Epoch: 54 / 10000, Score: -1300,  block: 22,  Reward: -0.9226 Cleared lines: 0, col: 0/0/0/0 
Epoch: 55 / 10000, Score: -1300,  block: 19,  Reward: -0.8948 Cleared lines: 0, col: 0/0/0/0 
Epoch: 56 / 10000, Score: -1300,  block: 16,  Reward: -0.9594 Cleared lines: 0, col: 0/0/0/0 
