start...
Finetuning mode
Load outputs/2022-08-16-23-07-28/trained_model/tetris_epoch192_score176400.pt...
Epoch: 1 / 3000, Score: 163100,  block: 3001,  Reward: 83.5803 Cleared lines: 1193, col: 659/231/16/6 
Epoch: 2 / 3000, Score: 167100,  block: 2943,  Reward: 83.9139 Cleared lines: 1161, col: 624/199/41/4 
Epoch: 3 / 3000, Score: 57300,  block: 997,  Reward: 28.5968 Cleared lines: 381, col: 210/61/11/4 
Epoch: 4 / 3000, Score: 162600,  block: 3001,  Reward: 83.8195 Cleared lines: 1197, col: 663/219/28/3 
Epoch: 5 / 3000, Score: 103500,  block: 1973,  Reward: 53.6527 Cleared lines: 773, col: 444/143/9/4 
Epoch: 6 / 3000, Score: 157800,  block: 3001,  Reward: 80.7345 Cleared lines: 1193, col: 699/212/18/4 
Epoch: 7 / 3000, Score: 159800,  block: 3001,  Reward: 82.5704 Cleared lines: 1198, col: 710/203/22/4 
Epoch: 8 / 3000, Score: 161500,  block: 3001,  Reward: 83.1933 Cleared lines: 1199, col: 700/200/29/3 
Epoch: 9 / 3000, Score: 159900,  block: 3001,  Reward: 82.5174 Cleared lines: 1198, col: 708/204/22/4 
Epoch: 10 / 3000, Score: 52600,  block: 1092,  Reward: 28.1429 Cleared lines: 421, col: 277/62/4/2 
Epoch: 11 / 3000, Score: 30200,  block: 592,  Reward: 15.4132 Cleared lines: 220, col: 122/39/4/2 
Epoch: 12 / 3000, Score: 110000,  block: 2105,  Reward: 56.6037 Cleared lines: 825, col: 473/149/14/3 
Epoch: 13 / 3000, Score: 150900,  block: 3001,  Reward: 78.8303 Cleared lines: 1199, col: 729/206/18/1 
Epoch: 14 / 3000, Score: 164300,  block: 3001,  Reward: 82.6123 Cleared lines: 1197, col: 695/202/26/5 
Epoch: 15 / 3000, Score: 19400,  block: 441,  Reward: 9.9171 Cleared lines: 160, col: 98/26/2/1 
Epoch: 16 / 3000, Score: 133800,  block: 2487,  Reward: 67.8343 Cleared lines: 979, col: 522/191/21/3 
Epoch: 17 / 3000, Score: 159700,  block: 3001,  Reward: 81.4790 Cleared lines: 1198, col: 697/207/25/3 
Epoch: 18 / 3000, Score: 79700,  block: 1542,  Reward: 40.0885 Cleared lines: 600, col: 326/118/10/2 
Epoch: 19 / 3000, Score: 57200,  block: 1115,  Reward: 29.0696 Cleared lines: 429, col: 245/76/8/2 
Epoch: 20 / 3000, Score: 165900,  block: 3001,  Reward: 84.4629 Cleared lines: 1196, col: 702/196/26/6 
Epoch: 21 / 3000, Score: 29200,  block: 696,  Reward: 15.9857 Cleared lines: 262, col: 166/45/2/0 
Epoch: 22 / 3000, Score: 141700,  block: 2704,  Reward: 72.8725 Cleared lines: 1064, col: 643/174/19/4 
Epoch: 23 / 3000, Score: 149700,  block: 3001,  Reward: 77.2235 Cleared lines: 1193, col: 717/212/16/1 
Epoch: 24 / 3000, Score: 159400,  block: 3001,  Reward: 82.5301 Cleared lines: 1194, col: 697/209/21/4 
Epoch: 25 / 3000, Score: 157000,  block: 3001,  Reward: 79.9159 Cleared lines: 1200, col: 697/213/23/2 
Epoch: 26 / 3000, Score: 168400,  block: 3001,  Reward: 86.1581 Cleared lines: 1196, col: 703/192/27/7 
Epoch: 27 / 3000, Score: 65900,  block: 1355,  Reward: 34.1873 Cleared lines: 524, col: 305/97/7/1 
Epoch: 28 / 3000, Score: 96400,  block: 1882,  Reward: 49.3167 Cleared lines: 738, col: 454/110/20/1 
Epoch: 29 / 3000, Score: 154800,  block: 3001,  Reward: 80.6959 Cleared lines: 1195, col: 717/202/22/2 
Epoch: 30 / 3000, Score: 72500,  block: 1492,  Reward: 37.3385 Cleared lines: 580, col: 359/95/9/1 
Epoch: 31 / 3000, Score: 162000,  block: 3001,  Reward: 84.5760 Cleared lines: 1196, col: 729/186/25/5 
Epoch: 32 / 3000, Score: 55700,  block: 1214,  Reward: 29.7369 Cleared lines: 469, col: 284/85/5/0 
