start...
Epoch: 1 / 5000, Score: -500,  block: 23,  Reward: -5057.6 Cleared lines: 0
Epoch: 2 / 5000, Score: -500,  block: 28,  Reward: -5068.1 Cleared lines: 0
Epoch: 3 / 5000, Score: -500,  block: 13,  Reward: -5029.4 Cleared lines: 0
Epoch: 4 / 5000, Score: -500,  block: 34,  Reward: -5091.8 Cleared lines: 0
Epoch: 5 / 5000, Score: -500,  block: 14,  Reward: -5035.9 Cleared lines: 0
Epoch: 6 / 5000, Score: -500,  block: 26,  Reward: -5065.4 Cleared lines: 0
Epoch: 7 / 5000, Score: -500,  block: 21,  Reward: -5063.4 Cleared lines: 0
Epoch: 8 / 5000, Score: -500,  block: 13,  Reward: -5040.1 Cleared lines: 0
Epoch: 9 / 5000, Score: -500,  block: 24,  Reward: -5082.9 Cleared lines: 0
Epoch: 10 / 5000, Score: -500,  block: 19,  Reward: -5048.1 Cleared lines: 0
Epoch: 11 / 5000, Score: -500,  block: 17,  Reward: -5029.4 Cleared lines: 0
Epoch: 12 / 5000, Score: -500,  block: 25,  Reward: -5078.9 Cleared lines: 0
Epoch: 13 / 5000, Score: -500,  block: 25,  Reward: -5063.5 Cleared lines: 0
Epoch: 14 / 5000, Score: -500,  block: 14,  Reward: -5052.1 Cleared lines: 0
Epoch: 15 / 5000, Score: -500,  block: 29,  Reward: -5119.4 Cleared lines: 0
Epoch: 16 / 5000, Score: -500,  block: 20,  Reward: -5066.6 Cleared lines: 0
Epoch: 17 / 5000, Score: -500,  block: 21,  Reward: -5055.5 Cleared lines: 0
Epoch: 18 / 5000, Score: -500,  block: 21,  Reward: -5046.1 Cleared lines: 0
Epoch: 19 / 5000, Score: -500,  block: 16,  Reward: -5037.4 Cleared lines: 0
Epoch: 20 / 5000, Score: -500,  block: 21,  Reward: -5057.3 Cleared lines: 0
Epoch: 21 / 5000, Score: -500,  block: 23,  Reward: -5071.2 Cleared lines: 0
Epoch: 22 / 5000, Score: -500,  block: 26,  Reward: -5063.8 Cleared lines: 0
Epoch: 23 / 5000, Score: -500,  block: 22,  Reward: -5042.4 Cleared lines: 0
Epoch: 24 / 5000, Score: -500,  block: 20,  Reward: -5055.2 Cleared lines: 0
Epoch: 25 / 5000, Score: -500,  block: 25,  Reward: -5074.1 Cleared lines: 0
Epoch: 26 / 5000, Score: -500,  block: 21,  Reward: -5069.2 Cleared lines: 0
Epoch: 27 / 5000, Score: -500,  block: 22,  Reward: -5085.9 Cleared lines: 0
Epoch: 28 / 5000, Score: -500,  block: 25,  Reward: -5080.7 Cleared lines: 0
Epoch: 29 / 5000, Score: -500,  block: 33,  Reward: -5114.6 Cleared lines: 0
Epoch: 30 / 5000, Score: -500,  block: 19,  Reward: -5042.5 Cleared lines: 0
Epoch: 31 / 5000, Score: -500,  block: 21,  Reward: -5050.1 Cleared lines: 0
Epoch: 32 / 5000, Score: -500,  block: 22,  Reward: -5077.1 Cleared lines: 0
Epoch: 33 / 5000, Score: -500,  block: 30,  Reward: -5101.6 Cleared lines: 0
Epoch: 34 / 5000, Score: -500,  block: 27,  Reward: -5070.0 Cleared lines: 0
Epoch: 35 / 5000, Score: -500,  block: 23,  Reward: -5055.4 Cleared lines: 0
Epoch: 36 / 5000, Score: -500,  block: 23,  Reward: -5080.1 Cleared lines: 0
Epoch: 37 / 5000, Score: -500,  block: 16,  Reward: -5055.8 Cleared lines: 0
Epoch: 38 / 5000, Score: -500,  block: 24,  Reward: -5086.0 Cleared lines: 0
Epoch: 39 / 5000, Score: -500,  block: 22,  Reward: -5071.6 Cleared lines: 0
Epoch: 40 / 5000, Score: -500,  block: 29,  Reward: -5084.4 Cleared lines: 0
Epoch: 41 / 5000, Score: -400,  block: 32,  Reward: -4994.6 Cleared lines: 1
Epoch: 42 / 5000, Score: -500,  block: 26,  Reward: -5061.4 Cleared lines: 0
Epoch: 43 / 5000, Score: -500,  block: 25,  Reward: -5087.3 Cleared lines: 0
Epoch: 44 / 5000, Score: -500,  block: 23,  Reward: -5067.6 Cleared lines: 0
Epoch: 45 / 5000, Score: -500,  block: 17,  Reward: -5034.4 Cleared lines: 0
Epoch: 46 / 5000, Score: -500,  block: 18,  Reward: -5044.3 Cleared lines: 0
Epoch: 47 / 5000, Score: -500,  block: 18,  Reward: -5057.6 Cleared lines: 0
Epoch: 48 / 5000, Score: -500,  block: 19,  Reward: -5054.7 Cleared lines: 0
Epoch: 49 / 5000, Score: -500,  block: 23,  Reward: -5083.4 Cleared lines: 0
Epoch: 50 / 5000, Score: -500,  block: 28,  Reward: -5101.3 Cleared lines: 0
Epoch: 51 / 5000, Score: -500,  block: 24,  Reward: -5076.0 Cleared lines: 0
Epoch: 52 / 5000, Score: -500,  block: 21,  Reward: -5066.9 Cleared lines: 0
Epoch: 53 / 5000, Score: -500,  block: 21,  Reward: -5052.6 Cleared lines: 0
Epoch: 54 / 5000, Score: -500,  block: 19,  Reward: -5035.6 Cleared lines: 0
Epoch: 55 / 5000, Score: -500,  block: 19,  Reward: -5054.9 Cleared lines: 0
Epoch: 56 / 5000, Score: -500,  block: 16,  Reward: -5032.8 Cleared lines: 0
Epoch: 57 / 5000, Score: -400,  block: 29,  Reward: -4979.9 Cleared lines: 1
Epoch: 58 / 5000, Score: -500,  block: 26,  Reward: -5078.9 Cleared lines: 0
Epoch: 59 / 5000, Score: -500,  block: 21,  Reward: -5069.4 Cleared lines: 0
Epoch: 60 / 5000, Score: -500,  block: 18,  Reward: -5063.5 Cleared lines: 0
Epoch: 61 / 5000, Score: -500,  block: 23,  Reward: -5069.1 Cleared lines: 0
Epoch: 62 / 5000, Score: -500,  block: 21,  Reward: -5049.2 Cleared lines: 0
Epoch: 63 / 5000, Score: -500,  block: 18,  Reward: -5041.6 Cleared lines: 0
Epoch: 64 / 5000, Score: -500,  block: 19,  Reward: -5064.7 Cleared lines: 0
Epoch: 65 / 5000, Score: -500,  block: 26,  Reward: -5070.7 Cleared lines: 0
Epoch: 66 / 5000, Score: -500,  block: 24,  Reward: -5077.2 Cleared lines: 0
Epoch: 67 / 5000, Score: -500,  block: 18,  Reward: -5051.4 Cleared lines: 0
Epoch: 68 / 5000, Score: -500,  block: 25,  Reward: -5075.6 Cleared lines: 0
Epoch: 69 / 5000, Score: -500,  block: 23,  Reward: -5081.1 Cleared lines: 0
Epoch: 70 / 5000, Score: -500,  block: 22,  Reward: -5055.4 Cleared lines: 0
