start...
Epoch: 1 / 10000, Score: -1300,  block: 26,  Reward: -17.1600 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 10000, Score: -1300,  block: 25,  Reward: -15.0100 Cleared lines: 0, col: 0/0/0/0 
Epoch: 3 / 10000, Score: -1300,  block: 15,  Reward: -6.6100 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 10000, Score: -1300,  block: 23,  Reward: -12.9800 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 10000, Score: -1300,  block: 23,  Reward: -13.1100 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 10000, Score: -1300,  block: 23,  Reward: -11.5700 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 10000, Score: -1300,  block: 20,  Reward: -8.6900 Cleared lines: 0, col: 0/0/0/0 
Epoch: 8 / 10000, Score: -1300,  block: 26,  Reward: -13.5600 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 10000, Score: -1300,  block: 27,  Reward: -12.6300 Cleared lines: 0, col: 0/0/0/0 
Epoch: 10 / 10000, Score: -1300,  block: 16,  Reward: -8.3100 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 10000, Score: -1300,  block: 25,  Reward: -14.8000 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 10000, Score: -1300,  block: 22,  Reward: -12.9100 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 10000, Score: -1300,  block: 27,  Reward: -16.9200 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 10000, Score: -1300,  block: 25,  Reward: -17.6600 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 10000, Score: -1300,  block: 28,  Reward: -14.4100 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 10000, Score: -1300,  block: 25,  Reward: -13.8800 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 10000, Score: -1300,  block: 22,  Reward: -12.7700 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 10000, Score: -1300,  block: 20,  Reward: -10.9100 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 10000, Score: -1300,  block: 19,  Reward: -10.0700 Cleared lines: 0, col: 0/0/0/0 
