start...
Epoch: 1 / 5000, Score: -500,  block: 22,  Reward: -6937.0 Cleared lines: 0
Epoch: 2 / 5000, Score: -500,  block: 20,  Reward: -6403.0 Cleared lines: 0
Epoch: 3 / 5000, Score: -500,  block: 21,  Reward: -6670.0 Cleared lines: 0
Epoch: 4 / 5000, Score: -500,  block: 22,  Reward: -6569.0 Cleared lines: 0
Epoch: 5 / 5000, Score: -500,  block: 20,  Reward: -6952.0 Cleared lines: 0
Epoch: 6 / 5000, Score: -500,  block: 21,  Reward: -6645.0 Cleared lines: 0
Epoch: 7 / 5000, Score: -500,  block: 22,  Reward: -6688.0 Cleared lines: 0
Epoch: 8 / 5000, Score: -500,  block: 26,  Reward: -7136.0 Cleared lines: 0
Epoch: 9 / 5000, Score: -500,  block: 23,  Reward: -6672.0 Cleared lines: 0
Epoch: 10 / 5000, Score: -500,  block: 20,  Reward: -7169.0 Cleared lines: 0
Epoch: 11 / 5000, Score: -500,  block: 25,  Reward: -7208.0 Cleared lines: 0
Epoch: 12 / 5000, Score: -500,  block: 19,  Reward: -6703.0 Cleared lines: 0
Epoch: 13 / 5000, Score: -500,  block: 19,  Reward: -6460.0 Cleared lines: 0
Epoch: 14 / 5000, Score: -500,  block: 26,  Reward: -7333.0 Cleared lines: 0
Epoch: 15 / 5000, Score: -500,  block: 26,  Reward: -7197.0 Cleared lines: 0
Epoch: 16 / 5000, Score: -500,  block: 25,  Reward: -7459.0 Cleared lines: 0
Epoch: 17 / 5000, Score: -500,  block: 17,  Reward: -6186.0 Cleared lines: 0
Epoch: 18 / 5000, Score: -500,  block: 18,  Reward: -6814.0 Cleared lines: 0
Epoch: 19 / 5000, Score: -500,  block: 27,  Reward: -7957.0 Cleared lines: 0
Epoch: 20 / 5000, Score: -500,  block: 23,  Reward: -7241.0 Cleared lines: 0
Epoch: 21 / 5000, Score: -500,  block: 21,  Reward: -7027.0 Cleared lines: 0
Epoch: 22 / 5000, Score: -500,  block: 21,  Reward: -7334.0 Cleared lines: 0
Epoch: 23 / 5000, Score: -500,  block: 18,  Reward: -6426.0 Cleared lines: 0
Epoch: 24 / 5000, Score: -500,  block: 23,  Reward: -7009.0 Cleared lines: 0
Epoch: 25 / 5000, Score: -500,  block: 24,  Reward: -7160.0 Cleared lines: 0
Epoch: 26 / 5000, Score: -500,  block: 30,  Reward: -7992.0 Cleared lines: 0
Epoch: 27 / 5000, Score: -500,  block: 26,  Reward: -6962.0 Cleared lines: 0
Epoch: 28 / 5000, Score: -500,  block: 22,  Reward: -6458.0 Cleared lines: 0
Epoch: 29 / 5000, Score: -400,  block: 26,  Reward: -7195.0 Cleared lines: 1
Epoch: 30 / 5000, Score: -500,  block: 29,  Reward: -7407.0 Cleared lines: 0
Epoch: 31 / 5000, Score: -500,  block: 21,  Reward: -6599.0 Cleared lines: 0
Epoch: 32 / 5000, Score: -500,  block: 25,  Reward: -7198.0 Cleared lines: 0
Epoch: 33 / 5000, Score: -500,  block: 22,  Reward: -6997.0 Cleared lines: 0
Epoch: 34 / 5000, Score: -500,  block: 18,  Reward: -6518.0 Cleared lines: 0
Epoch: 35 / 5000, Score: -500,  block: 28,  Reward: -7413.0 Cleared lines: 0
Epoch: 36 / 5000, Score: -500,  block: 26,  Reward: -7259.0 Cleared lines: 0
Epoch: 37 / 5000, Score: -500,  block: 21,  Reward: -6949.0 Cleared lines: 0
Epoch: 38 / 5000, Score: -500,  block: 23,  Reward: -6993.0 Cleared lines: 0
Epoch: 39 / 5000, Score: -500,  block: 25,  Reward: -6997.0 Cleared lines: 0
Epoch: 40 / 5000, Score: -500,  block: 24,  Reward: -7148.0 Cleared lines: 0
Epoch: 41 / 5000, Score: -500,  block: 16,  Reward: -6182.0 Cleared lines: 0
Epoch: 42 / 5000, Score: -500,  block: 25,  Reward: -7183.0 Cleared lines: 0
Epoch: 43 / 5000, Score: -500,  block: 23,  Reward: -7057.0 Cleared lines: 0
Epoch: 44 / 5000, Score: -500,  block: 28,  Reward: -7359.0 Cleared lines: 0
Epoch: 45 / 5000, Score: -500,  block: 18,  Reward: -6474.0 Cleared lines: 0
Epoch: 46 / 5000, Score: -500,  block: 21,  Reward: -7006.0 Cleared lines: 0
Epoch: 47 / 5000, Score: -500,  block: 28,  Reward: -7413.0 Cleared lines: 0
Epoch: 48 / 5000, Score: -500,  block: 20,  Reward: -6627.0 Cleared lines: 0
