start...
Epoch: 1 / 5000, Score: -500,  block: 19,  Reward: -6853.0 Cleared lines: 0
Epoch: 2 / 5000, Score: -500,  block: 22,  Reward: -6890.0 Cleared lines: 0
Epoch: 3 / 5000, Score: -500,  block: 17,  Reward: -6597.0 Cleared lines: 0
Epoch: 4 / 5000, Score: -500,  block: 21,  Reward: -6815.0 Cleared lines: 0
Epoch: 5 / 5000, Score: -500,  block: 22,  Reward: -6721.0 Cleared lines: 0
Epoch: 6 / 5000, Score: -400,  block: 18,  Reward: -5969.0 Cleared lines: 1
Epoch: 7 / 5000, Score: -500,  block: 18,  Reward: -5848.0 Cleared lines: 0
Epoch: 8 / 5000, Score: -500,  block: 23,  Reward: -6301.0 Cleared lines: 0
Epoch: 9 / 5000, Score: -200,  block: 28,  Reward: -6369.0 Cleared lines: 3
Epoch: 10 / 5000, Score: -400,  block: 31,  Reward: -6497.0 Cleared lines: 1
Epoch: 11 / 5000, Score: -200,  block: 35,  Reward: -6479.0 Cleared lines: 3
Epoch: 12 / 5000, Score: -500,  block: 27,  Reward: -6437.0 Cleared lines: 0
Epoch: 13 / 5000, Score: -400,  block: 23,  Reward: -6072.0 Cleared lines: 1
Epoch: 14 / 5000, Score: -300,  block: 34,  Reward: -6199.0 Cleared lines: 2
Epoch: 15 / 5000, Score: -300,  block: 34,  Reward: -6749.0 Cleared lines: 2
Epoch: 16 / 5000, Score: -500,  block: 30,  Reward: -6455.0 Cleared lines: 0
Epoch: 17 / 5000, Score: -500,  block: 22,  Reward: -5991.0 Cleared lines: 0
Epoch: 18 / 5000, Score: -400,  block: 32,  Reward: -7175.0 Cleared lines: 1
Epoch: 19 / 5000, Score: 400,  block: 52,  Reward: -5818.0 Cleared lines: 8
Epoch: 20 / 5000, Score: -300,  block: 40,  Reward: -6323.0 Cleared lines: 2
Epoch: 21 / 5000, Score: -500,  block: 28,  Reward: -6442.0 Cleared lines: 0
Epoch: 22 / 5000, Score: -500,  block: 28,  Reward: -6476.0 Cleared lines: 0
Epoch: 23 / 5000, Score: -500,  block: 29,  Reward: -6667.0 Cleared lines: 0
Epoch: 24 / 5000, Score: -300,  block: 36,  Reward: -6353.0 Cleared lines: 2
Epoch: 25 / 5000, Score: -300,  block: 32,  Reward: -6448.0 Cleared lines: 2
Epoch: 26 / 5000, Score: -300,  block: 37,  Reward: -6647.0 Cleared lines: 2
Epoch: 27 / 5000, Score: -400,  block: 32,  Reward: -6455.0 Cleared lines: 1
Epoch: 28 / 5000, Score: -300,  block: 27,  Reward: -6511.0 Cleared lines: 2
Epoch: 29 / 5000, Score: -400,  block: 28,  Reward: -6135.0 Cleared lines: 1
Epoch: 30 / 5000, Score: -300,  block: 31,  Reward: -6154.0 Cleared lines: 2
Epoch: 31 / 5000, Score: -400,  block: 31,  Reward: -6316.0 Cleared lines: 1
Epoch: 32 / 5000, Score: -500,  block: 24,  Reward: -6459.0 Cleared lines: 0
Epoch: 33 / 5000, Score: -500,  block: 29,  Reward: -6604.0 Cleared lines: 0
Epoch: 34 / 5000, Score: -500,  block: 32,  Reward: -6697.0 Cleared lines: 0
Epoch: 35 / 5000, Score: -300,  block: 30,  Reward: -6405.0 Cleared lines: 2
Epoch: 36 / 5000, Score: -400,  block: 35,  Reward: -6595.0 Cleared lines: 1
Epoch: 37 / 5000, Score: -100,  block: 47,  Reward: -6553.0 Cleared lines: 4
Epoch: 38 / 5000, Score: -100,  block: 45,  Reward: -6687.0 Cleared lines: 4
Epoch: 39 / 5000, Score: -500,  block: 24,  Reward: -5833.0 Cleared lines: 0
Epoch: 40 / 5000, Score: -300,  block: 33,  Reward: -6126.0 Cleared lines: 2
Epoch: 41 / 5000, Score: -500,  block: 27,  Reward: -6781.0 Cleared lines: 0
Epoch: 42 / 5000, Score: -500,  block: 30,  Reward: -6531.0 Cleared lines: 0
Epoch: 43 / 5000, Score: -400,  block: 21,  Reward: -6015.0 Cleared lines: 1
Epoch: 44 / 5000, Score: 0,  block: 50,  Reward: -6352.0 Cleared lines: 5
Epoch: 45 / 5000, Score: -400,  block: 30,  Reward: -6366.0 Cleared lines: 1
Epoch: 46 / 5000, Score: -200,  block: 36,  Reward: -6195.0 Cleared lines: 3
Epoch: 47 / 5000, Score: -100,  block: 40,  Reward: -6012.0 Cleared lines: 4
Epoch: 48 / 5000, Score: -200,  block: 42,  Reward: -6472.0 Cleared lines: 3
Epoch: 49 / 5000, Score: -500,  block: 27,  Reward: -6467.0 Cleared lines: 0
Epoch: 50 / 5000, Score: -300,  block: 40,  Reward: -7023.0 Cleared lines: 2
Epoch: 51 / 5000, Score: 0,  block: 39,  Reward: -6029.0 Cleared lines: 5
Epoch: 52 / 5000, Score: 0,  block: 33,  Reward: -6010.0 Cleared lines: 5
Epoch: 53 / 5000, Score: -500,  block: 33,  Reward: -6832.0 Cleared lines: 0
Epoch: 54 / 5000, Score: 0,  block: 43,  Reward: -6768.0 Cleared lines: 5
Epoch: 55 / 5000, Score: 0,  block: 41,  Reward: -6669.0 Cleared lines: 5
Epoch: 56 / 5000, Score: -300,  block: 34,  Reward: -6430.0 Cleared lines: 2
Epoch: 57 / 5000, Score: -300,  block: 38,  Reward: -6390.0 Cleared lines: 2
Epoch: 58 / 5000, Score: -500,  block: 35,  Reward: -6830.0 Cleared lines: 0
Epoch: 59 / 5000, Score: -400,  block: 32,  Reward: -6339.0 Cleared lines: 1
Epoch: 60 / 5000, Score: -200,  block: 46,  Reward: -6800.0 Cleared lines: 3
Epoch: 61 / 5000, Score: -400,  block: 33,  Reward: -6477.0 Cleared lines: 1
Epoch: 62 / 5000, Score: -200,  block: 35,  Reward: -6202.0 Cleared lines: 3
Epoch: 63 / 5000, Score: -300,  block: 33,  Reward: -6343.0 Cleared lines: 2
Epoch: 64 / 5000, Score: -500,  block: 28,  Reward: -6801.0 Cleared lines: 0
Epoch: 65 / 5000, Score: -300,  block: 35,  Reward: -6404.0 Cleared lines: 2
Epoch: 66 / 5000, Score: -300,  block: 39,  Reward: -6239.0 Cleared lines: 2
Epoch: 67 / 5000, Score: -500,  block: 31,  Reward: -6388.0 Cleared lines: 0
Epoch: 68 / 5000, Score: 100,  block: 45,  Reward: -6269.0 Cleared lines: 5
Epoch: 69 / 5000, Score: -500,  block: 31,  Reward: -6341.0 Cleared lines: 0
