start...
Epoch: 1 / 100000, Score: -5000,  block: 16,  Reward: -0.9094 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 100000, Score: -4200,  block: 40,  Reward: -0.4998 Cleared lines: 8, col: 8/0/0/0 
Epoch: 3 / 100000, Score: -5000,  block: 20,  Reward: -0.8503 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 100000, Score: -5000,  block: 21,  Reward: -0.8569 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 100000, Score: -5000,  block: 22,  Reward: -0.8473 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 100000, Score: -5000,  block: 11,  Reward: -0.9155 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 100000, Score: -5000,  block: 20,  Reward: -0.8508 Cleared lines: 0, col: 0/0/0/0 
Epoch: 8 / 100000, Score: -5000,  block: 17,  Reward: -0.8754 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 100000, Score: -5000,  block: 14,  Reward: -0.8872 Cleared lines: 0, col: 0/0/0/0 
Epoch: 10 / 100000, Score: -5000,  block: 14,  Reward: -0.8917 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 100000, Score: -5000,  block: 18,  Reward: -0.8631 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 100000, Score: -5000,  block: 15,  Reward: -0.8956 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 100000, Score: -5000,  block: 15,  Reward: -0.8850 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 100000, Score: -5000,  block: 20,  Reward: -0.8466 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 100000, Score: -5000,  block: 17,  Reward: -0.8697 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 100000, Score: -5000,  block: 17,  Reward: -0.8759 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 100000, Score: -5000,  block: 13,  Reward: -0.9015 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 100000, Score: -5000,  block: 19,  Reward: -0.8578 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 100000, Score: -5000,  block: 15,  Reward: -0.8835 Cleared lines: 0, col: 0/0/0/0 
Epoch: 20 / 100000, Score: -5000,  block: 21,  Reward: -0.8515 Cleared lines: 0, col: 0/0/0/0 
Epoch: 21 / 100000, Score: -5000,  block: 18,  Reward: -0.8723 Cleared lines: 0, col: 0/0/0/0 
Epoch: 22 / 100000, Score: -5000,  block: 19,  Reward: -0.8680 Cleared lines: 0, col: 0/0/0/0 
Epoch: 23 / 100000, Score: -5000,  block: 13,  Reward: -0.8982 Cleared lines: 0, col: 0/0/0/0 
Epoch: 24 / 100000, Score: -5000,  block: 25,  Reward: -0.8242 Cleared lines: 0, col: 0/0/0/0 
Epoch: 25 / 100000, Score: -5000,  block: 14,  Reward: -0.8962 Cleared lines: 0, col: 0/0/0/0 
