start...
Epoch: 1 / 5000, Score: -500,  block: 27,  Reward: -2705.0 Cleared lines: 0
Epoch: 2 / 5000, Score: -500,  block: 23,  Reward: -1978.0 Cleared lines: 0
Epoch: 3 / 5000, Score: -500,  block: 24,  Reward: -1981.0 Cleared lines: 0
Epoch: 4 / 5000, Score: -500,  block: 18,  Reward: -1598.0 Cleared lines: 0
Epoch: 5 / 5000, Score: -500,  block: 21,  Reward: -1491.0 Cleared lines: 0
Epoch: 6 / 5000, Score: -500,  block: 29,  Reward: -2362.0 Cleared lines: 0
Epoch: 7 / 5000, Score: -500,  block: 17,  Reward: -1359.0 Cleared lines: 0
Epoch: 8 / 5000, Score: -500,  block: 25,  Reward: -2057.0 Cleared lines: 0
Epoch: 9 / 5000, Score: -500,  block: 25,  Reward: -2122.0 Cleared lines: 0
Epoch: 10 / 5000, Score: -500,  block: 23,  Reward: -1525.0 Cleared lines: 0
Epoch: 11 / 5000, Score: -500,  block: 22,  Reward: -1766.0 Cleared lines: 0
Epoch: 12 / 5000, Score: -500,  block: 25,  Reward: -1730.0 Cleared lines: 0
Epoch: 13 / 5000, Score: -500,  block: 29,  Reward: -2997.0 Cleared lines: 0
Epoch: 14 / 5000, Score: -500,  block: 25,  Reward: -2317.0 Cleared lines: 0
Epoch: 15 / 5000, Score: -500,  block: 28,  Reward: -2092.0 Cleared lines: 0
Epoch: 16 / 5000, Score: -500,  block: 23,  Reward: -2029.0 Cleared lines: 0
Epoch: 17 / 5000, Score: -500,  block: 19,  Reward: -1504.0 Cleared lines: 0
Epoch: 18 / 5000, Score: -500,  block: 22,  Reward: -1992.0 Cleared lines: 0
Epoch: 19 / 5000, Score: -500,  block: 27,  Reward: -2225.0 Cleared lines: 0
Epoch: 20 / 5000, Score: -500,  block: 21,  Reward: -1969.0 Cleared lines: 0
Epoch: 21 / 5000, Score: -500,  block: 17,  Reward: -1248.0 Cleared lines: 0
Epoch: 22 / 5000, Score: -500,  block: 19,  Reward: -1730.0 Cleared lines: 0
Epoch: 23 / 5000, Score: -500,  block: 28,  Reward: -2156.0 Cleared lines: 0
Epoch: 24 / 5000, Score: -500,  block: 23,  Reward: -1713.0 Cleared lines: 0
Epoch: 25 / 5000, Score: -500,  block: 23,  Reward: -2219.0 Cleared lines: 0
Epoch: 26 / 5000, Score: -500,  block: 21,  Reward: -1811.0 Cleared lines: 0
Epoch: 27 / 5000, Score: -500,  block: 22,  Reward: -1629.0 Cleared lines: 0
Epoch: 28 / 5000, Score: -500,  block: 19,  Reward: -1714.0 Cleared lines: 0
Epoch: 29 / 5000, Score: -500,  block: 25,  Reward: -2556.0 Cleared lines: 0
Epoch: 30 / 5000, Score: -500,  block: 23,  Reward: -2095.0 Cleared lines: 0
Epoch: 31 / 5000, Score: -500,  block: 24,  Reward: -2249.0 Cleared lines: 0
Epoch: 32 / 5000, Score: -500,  block: 23,  Reward: -1974.0 Cleared lines: 0
Epoch: 33 / 5000, Score: -500,  block: 25,  Reward: -2526.0 Cleared lines: 0
Epoch: 34 / 5000, Score: -500,  block: 30,  Reward: -2490.0 Cleared lines: 0
Epoch: 35 / 5000, Score: -500,  block: 26,  Reward: -2204.0 Cleared lines: 0
Epoch: 36 / 5000, Score: -500,  block: 22,  Reward: -1468.0 Cleared lines: 0
