start...
Finetuning mode
Load outputs/2022-08-15-15-06-30/trained_model/tetris_epoch273_score153000.pt...
Epoch: 44 / 3000, Score: 139900,  block: 3001,  Reward: 74.7 Cleared lines: 1199, col1: 853, col2: 158, col3: 10, col4: 0 
Epoch: 45 / 3000, Score: 79300,  block: 1749,  Reward: 41.3 Cleared lines: 684, col1: 484, col2: 91, col3: 6, col4: 0 
Epoch: 46 / 3000, Score: 131600,  block: 2723,  Reward: 68.2 Cleared lines: 1071, col1: 746, col2: 133, col3: 17, col4: 2 
Epoch: 47 / 3000, Score: 63600,  block: 1375,  Reward: 32.7 Cleared lines: 533, col1: 360, col2: 77, col3: 5, col4: 1 
Epoch: 48 / 3000, Score: 154600,  block: 3001,  Reward: 81.9 Cleared lines: 1199, col1: 769, col2: 175, col3: 20, col4: 5 
Epoch: 49 / 3000, Score: 107000,  block: 2277,  Reward: 57.0 Cleared lines: 894, col1: 626, col2: 118, col3: 8, col4: 2 
Epoch: 50 / 3000, Score: 142700,  block: 3001,  Reward: 75.8 Cleared lines: 1195, col1: 827, col2: 164, col3: 12, col4: 1 
Epoch: 51 / 3000, Score: 36100,  block: 813,  Reward: 18.7 Cleared lines: 309, col1: 220, col2: 38, col3: 3, col4: 1 
Epoch: 52 / 3000, Score: 32000,  block: 748,  Reward: 16.7 Cleared lines: 284, col1: 185, col2: 48, col3: 1, col4: 0 
Epoch: 53 / 3000, Score: 57900,  block: 1273,  Reward: 31.0 Cleared lines: 493, col1: 330, col2: 74, col3: 5, col4: 0 
Epoch: 54 / 3000, Score: 93100,  block: 1895,  Reward: 48.7 Cleared lines: 740, col1: 484, col2: 107, col3: 10, col4: 3 
Epoch: 55 / 3000, Score: 46700,  block: 1046,  Reward: 24.9 Cleared lines: 403, col1: 281, col2: 56, col3: 2, col4: 1 
Epoch: 56 / 3000, Score: 143400,  block: 3001,  Reward: 76.6 Cleared lines: 1194, col1: 774, col2: 196, col3: 8, col4: 1 
Epoch: 57 / 3000, Score: 150400,  block: 3001,  Reward: 77.7 Cleared lines: 1191, col1: 733, col2: 197, col3: 20, col4: 1 
Epoch: 58 / 3000, Score: 75800,  block: 1604,  Reward: 38.6 Cleared lines: 626, col1: 422, col2: 88, col3: 8, col4: 1 
Epoch: 59 / 3000, Score: 142400,  block: 3001,  Reward: 76.6 Cleared lines: 1197, col1: 833, col2: 161, col3: 14, col4: 0 
Epoch: 60 / 3000, Score: 143900,  block: 3001,  Reward: 78.1 Cleared lines: 1198, col1: 824, col2: 163, col3: 16, col4: 0 
Epoch: 61 / 3000, Score: 91500,  block: 1936,  Reward: 46.0 Cleared lines: 758, col1: 522, col2: 101, col3: 10, col4: 1 
Epoch: 62 / 3000, Score: 152200,  block: 3001,  Reward: 80.8 Cleared lines: 1194, col1: 784, col2: 162, col3: 26, col4: 2 
Epoch: 63 / 3000, Score: 149200,  block: 3001,  Reward: 78.8 Cleared lines: 1197, col1: 766, col2: 185, col3: 19, col4: 1 
Epoch: 64 / 3000, Score: 148700,  block: 3001,  Reward: 80.0 Cleared lines: 1197, col1: 776, col2: 180, col3: 19, col4: 1 
Epoch: 65 / 3000, Score: 148300,  block: 3001,  Reward: 80.1 Cleared lines: 1197, col1: 826, col2: 150, col3: 21, col4: 2 
Epoch: 66 / 3000, Score: 148800,  block: 3001,  Reward: 79.1 Cleared lines: 1200, col1: 822, col2: 156, col3: 18, col4: 3 
Epoch: 67 / 3000, Score: 144200,  block: 3001,  Reward: 77.0 Cleared lines: 1193, col1: 818, col2: 163, col3: 15, col4: 1 
Epoch: 68 / 3000, Score: 110000,  block: 2378,  Reward: 58.6 Cleared lines: 935, col1: 659, col2: 123, col3: 10, col4: 0 
Epoch: 69 / 3000, Score: 54700,  block: 1094,  Reward: 28.7 Cleared lines: 421, col1: 274, col2: 58, col3: 5, col4: 4 
Epoch: 70 / 3000, Score: 143700,  block: 3001,  Reward: 76.4 Cleared lines: 1193, col1: 810, col2: 170, col3: 13, col4: 1 
Epoch: 71 / 3000, Score: 148700,  block: 3001,  Reward: 79.1 Cleared lines: 1197, col1: 821, col2: 156, col3: 16, col4: 4 
Epoch: 72 / 3000, Score: 34900,  block: 820,  Reward: 17.7 Cleared lines: 313, col1: 223, col2: 42, col3: 2, col4: 0 
Epoch: 73 / 3000, Score: 148400,  block: 3001,  Reward: 78.8 Cleared lines: 1195, col1: 788, col2: 175, col3: 15, col4: 3 
Epoch: 74 / 3000, Score: 65800,  block: 1355,  Reward: 33.5 Cleared lines: 524, col1: 337, col2: 80, col3: 5, col4: 3 
Epoch: 75 / 3000, Score: 76300,  block: 1579,  Reward: 39.5 Cleared lines: 614, col1: 409, col2: 85, col3: 9, col4: 2 
Epoch: 76 / 3000, Score: 117600,  block: 2435,  Reward: 61.3 Cleared lines: 959, col1: 630, col2: 143, col3: 13, col4: 1 
Epoch: 77 / 3000, Score: 66700,  block: 1413,  Reward: 35.8 Cleared lines: 547, col1: 358, col2: 82, col3: 7, col4: 1 
Epoch: 78 / 3000, Score: 146200,  block: 3001,  Reward: 77.5 Cleared lines: 1191, col1: 784, col2: 181, col3: 11, col4: 3 
Epoch: 79 / 3000, Score: 149000,  block: 3001,  Reward: 79.4 Cleared lines: 1199, col1: 782, col2: 179, col3: 17, col4: 2 
Epoch: 80 / 3000, Score: 116500,  block: 2487,  Reward: 59.4 Cleared lines: 980, col1: 679, col2: 135, col3: 9, col4: 1 
Epoch: 81 / 3000, Score: 146500,  block: 3001,  Reward: 77.7 Cleared lines: 1196, col1: 784, col2: 179, col3: 18, col4: 0 
Epoch: 82 / 3000, Score: 147100,  block: 3001,  Reward: 77.5 Cleared lines: 1198, col1: 793, col2: 175, col3: 17, col4: 1 
Epoch: 83 / 3000, Score: 148200,  block: 3001,  Reward: 76.2 Cleared lines: 1196, col1: 795, col2: 172, col3: 15, col4: 3 
Epoch: 84 / 3000, Score: 148700,  block: 3001,  Reward: 78.1 Cleared lines: 1190, col1: 818, col2: 151, col3: 18, col4: 4 
Epoch: 85 / 3000, Score: 116400,  block: 2332,  Reward: 60.9 Cleared lines: 916, col1: 606, col2: 126, col3: 14, col4: 4 
Epoch: 86 / 3000, Score: 144900,  block: 3001,  Reward: 77.9 Cleared lines: 1199, col1: 819, col2: 168, col3: 12, col4: 2 
Epoch: 87 / 3000, Score: 146000,  block: 3001,  Reward: 77.9 Cleared lines: 1198, col1: 803, col2: 174, col3: 13, col4: 2 
Epoch: 88 / 3000, Score: 149500,  block: 3001,  Reward: 81.1 Cleared lines: 1198, col1: 817, col2: 157, col3: 17, col4: 4 
Epoch: 89 / 3000, Score: 69400,  block: 1435,  Reward: 35.4 Cleared lines: 557, col1: 376, col2: 73, col3: 9, col4: 2 
Epoch: 90 / 3000, Score: 143500,  block: 3001,  Reward: 77.0 Cleared lines: 1198, col1: 802, col2: 181, col3: 10, col4: 1 
Epoch: 91 / 3000, Score: 146100,  block: 3001,  Reward: 77.8 Cleared lines: 1194, col1: 792, col2: 175, col3: 16, col4: 1 
Epoch: 92 / 3000, Score: 145200,  block: 3001,  Reward: 78.1 Cleared lines: 1197, col1: 813, col2: 165, col3: 18, col4: 0 
Epoch: 93 / 3000, Score: 8900,  block: 265,  Reward: 3.9 Cleared lines: 90, col1: 74, col2: 5, col3: 2, col4: 0 
Epoch: 94 / 3000, Score: 150800,  block: 3001,  Reward: 78.8 Cleared lines: 1194, col1: 800, col2: 158, col3: 22, col4: 3 
Epoch: 95 / 3000, Score: 24000,  block: 557,  Reward: 11.2 Cleared lines: 210, col1: 141, col2: 30, col3: 3, col4: 0 
Epoch: 96 / 3000, Score: 147300,  block: 3001,  Reward: 78.0 Cleared lines: 1198, col1: 804, col2: 169, col3: 16, col4: 2 
Epoch: 97 / 3000, Score: 142800,  block: 3001,  Reward: 76.5 Cleared lines: 1191, col1: 816, col2: 165, col3: 15, col4: 0 
Epoch: 98 / 3000, Score: 146200,  block: 3001,  Reward: 78.8 Cleared lines: 1196, col1: 796, col2: 174, col3: 16, col4: 1 
Epoch: 99 / 3000, Score: 131800,  block: 2753,  Reward: 68.9 Cleared lines: 1086, col1: 727, col2: 158, col3: 13, col4: 1 
Epoch: 100 / 3000, Score: 89400,  block: 1903,  Reward: 47.1 Cleared lines: 745, col1: 501, col2: 107, col3: 10, col4: 0 
Epoch: 101 / 3000, Score: 140900,  block: 3001,  Reward: 76.6 Cleared lines: 1197, col1: 866, col2: 148, col3: 9, col4: 2 
Epoch: 102 / 3000, Score: 18000,  block: 436,  Reward: 9.2 Cleared lines: 157, col1: 108, col2: 21, col3: 1, col4: 1 
Epoch: 103 / 3000, Score: 147900,  block: 3001,  Reward: 78.5 Cleared lines: 1193, col1: 795, col2: 168, col3: 18, col4: 2 
Epoch: 104 / 3000, Score: 145600,  block: 3001,  Reward: 78.1 Cleared lines: 1196, col1: 805, col2: 172, col3: 13, col4: 2 
Epoch: 105 / 3000, Score: 81500,  block: 1779,  Reward: 42.5 Cleared lines: 694, col1: 479, col2: 97, col3: 7, col4: 0 
Epoch: 106 / 3000, Score: 71100,  block: 1547,  Reward: 37.5 Cleared lines: 605, col1: 435, col2: 74, col3: 6, col4: 1 
Epoch: 107 / 3000, Score: 140700,  block: 3001,  Reward: 72.0 Cleared lines: 1194, col1: 822, col2: 171, col3: 10, col4: 0 
Epoch: 108 / 3000, Score: 141900,  block: 3001,  Reward: 73.9 Cleared lines: 1194, col1: 837, col2: 161, col3: 9, col4: 2 
Epoch: 109 / 3000, Score: 76300,  block: 1581,  Reward: 40.7 Cleared lines: 615, col1: 445, col2: 64, col3: 10, col4: 3 
Epoch: 110 / 3000, Score: 142600,  block: 3001,  Reward: 73.5 Cleared lines: 1198, col1: 838, col2: 160, col3: 12, col4: 1 
Epoch: 111 / 3000, Score: 109200,  block: 2308,  Reward: 54.7 Cleared lines: 907, col1: 615, col2: 129, col3: 10, col4: 1 
Epoch: 112 / 3000, Score: 145900,  block: 3001,  Reward: 76.4 Cleared lines: 1188, col1: 814, col2: 161, col3: 12, col4: 4 
Epoch: 113 / 3000, Score: 145200,  block: 3001,  Reward: 76.8 Cleared lines: 1195, col1: 840, col2: 147, col3: 19, col4: 1 
Epoch: 114 / 3000, Score: 27200,  block: 635,  Reward: 13.0 Cleared lines: 242, col1: 182, col2: 24, col3: 4, col4: 0 
Epoch: 115 / 3000, Score: 7700,  block: 250,  Reward: 3.1 Cleared lines: 83, col1: 59, col2: 12, col3: 0, col4: 0 
Epoch: 116 / 3000, Score: 146600,  block: 3001,  Reward: 78.0 Cleared lines: 1198, col1: 791, col2: 180, col3: 13, col4: 2 
Epoch: 117 / 3000, Score: 51000,  block: 1107,  Reward: 26.3 Cleared lines: 427, col1: 285, col2: 63, col3: 4, col4: 1 
Epoch: 118 / 3000, Score: 39900,  block: 932,  Reward: 21.1 Cleared lines: 356, col1: 243, col2: 55, col3: 1, col4: 0 
Epoch: 119 / 3000, Score: 5200,  block: 201,  Reward: 2.3 Cleared lines: 65, col1: 55, col2: 5, col3: 0, col4: 0 
Epoch: 120 / 3000, Score: 145700,  block: 3001,  Reward: 76.9 Cleared lines: 1197, col1: 821, col2: 164, col3: 12, col4: 3 
Epoch: 121 / 3000, Score: 150200,  block: 3001,  Reward: 77.4 Cleared lines: 1190, col1: 800, col2: 156, col3: 22, col4: 3 
Epoch: 122 / 3000, Score: 116600,  block: 2477,  Reward: 62.3 Cleared lines: 973, col1: 674, col2: 131, col3: 11, col4: 1 
Epoch: 123 / 3000, Score: 52800,  block: 1118,  Reward: 26.8 Cleared lines: 433, col1: 261, col2: 77, col3: 6, col4: 0 
Epoch: 124 / 3000, Score: 73700,  block: 1598,  Reward: 38.7 Cleared lines: 622, col1: 443, col2: 77, col3: 7, col4: 1 
Epoch: 125 / 3000, Score: 59500,  block: 1190,  Reward: 29.8 Cleared lines: 460, col1: 274, col2: 77, col3: 8, col4: 2 
Epoch: 126 / 3000, Score: 73000,  block: 1536,  Reward: 38.7 Cleared lines: 599, col1: 406, col2: 81, col3: 9, col4: 1 
Epoch: 127 / 3000, Score: 144000,  block: 3001,  Reward: 76.4 Cleared lines: 1197, col1: 834, col2: 157, col3: 15, col4: 1 
Epoch: 128 / 3000, Score: 119500,  block: 2549,  Reward: 63.5 Cleared lines: 1002, col1: 682, col2: 147, col3: 6, col4: 2 
Epoch: 129 / 3000, Score: 33200,  block: 750,  Reward: 16.2 Cleared lines: 285, col1: 182, col2: 47, col3: 3, col4: 0 
Epoch: 130 / 3000, Score: 39300,  block: 909,  Reward: 20.6 Cleared lines: 348, col1: 258, col2: 39, col3: 4, col4: 0 
Epoch: 131 / 3000, Score: 28700,  block: 641,  Reward: 13.7 Cleared lines: 240, col1: 161, col2: 33, col3: 3, col4: 1 
Epoch: 132 / 3000, Score: 85300,  block: 1809,  Reward: 44.4 Cleared lines: 707, col1: 487, col2: 98, col3: 4, col4: 3 
Epoch: 133 / 3000, Score: 148200,  block: 3001,  Reward: 78.3 Cleared lines: 1199, col1: 792, col2: 173, col3: 19, col4: 1 
Epoch: 134 / 3000, Score: 152500,  block: 3001,  Reward: 81.6 Cleared lines: 1198, col1: 760, col2: 183, col3: 20, col4: 3 
Epoch: 135 / 3000, Score: 147400,  block: 3001,  Reward: 75.9 Cleared lines: 1193, col1: 787, col2: 175, col3: 16, col4: 2 
Epoch: 136 / 3000, Score: 143900,  block: 3001,  Reward: 77.0 Cleared lines: 1193, col1: 806, col2: 172, col3: 13, col4: 1 
Epoch: 137 / 3000, Score: 7500,  block: 209,  Reward: 3.7 Cleared lines: 67, col1: 48, col2: 6, col3: 1, col4: 1 
Epoch: 138 / 3000, Score: 153400,  block: 3001,  Reward: 81.4 Cleared lines: 1194, col1: 763, col2: 176, col3: 21, col4: 4 
Epoch: 139 / 3000, Score: 151900,  block: 3001,  Reward: 81.9 Cleared lines: 1194, col1: 763, col2: 177, col3: 23, col4: 2 
Epoch: 140 / 3000, Score: 12500,  block: 307,  Reward: 5.7 Cleared lines: 109, col1: 68, col2: 16, col3: 3, col4: 0 
Epoch: 141 / 3000, Score: 156400,  block: 3001,  Reward: 81.8 Cleared lines: 1194, col1: 757, col2: 170, col3: 27, col4: 4 
Epoch: 142 / 3000, Score: 146500,  block: 3001,  Reward: 77.9 Cleared lines: 1198, col1: 808, col2: 171, col3: 12, col4: 3 
Epoch: 143 / 3000, Score: 149200,  block: 3001,  Reward: 79.4 Cleared lines: 1199, col1: 787, col2: 175, col3: 18, col4: 2 
Epoch: 144 / 3000, Score: 33400,  block: 713,  Reward: 17.4 Cleared lines: 268, col1: 169, col2: 40, col3: 5, col4: 1 
Epoch: 145 / 3000, Score: 145700,  block: 3001,  Reward: 77.4 Cleared lines: 1198, col1: 770, col2: 193, col3: 14, col4: 0 
Epoch: 146 / 3000, Score: 30000,  block: 673,  Reward: 15.5 Cleared lines: 255, col1: 156, col2: 45, col3: 3, col4: 0 
Epoch: 147 / 3000, Score: 7300,  block: 221,  Reward: 3.4 Cleared lines: 72, col1: 43, col2: 13, col3: 1, col4: 0 
Epoch: 148 / 3000, Score: 48000,  block: 1046,  Reward: 25.1 Cleared lines: 401, col1: 276, col2: 53, col3: 5, col4: 1 
Epoch: 149 / 3000, Score: 148300,  block: 3001,  Reward: 79.0 Cleared lines: 1198, col1: 802, col2: 167, col3: 18, col4: 2 
Epoch: 150 / 3000, Score: 37800,  block: 849,  Reward: 18.9 Cleared lines: 323, col1: 213, col2: 49, col3: 4, col4: 0 
Epoch: 151 / 3000, Score: 28400,  block: 648,  Reward: 14.6 Cleared lines: 243, col1: 176, col2: 27, col3: 3, col4: 1 
Epoch: 152 / 3000, Score: 146400,  block: 3001,  Reward: 77.4 Cleared lines: 1191, col1: 801, col2: 167, col3: 16, col4: 2 
Epoch: 153 / 3000, Score: 52000,  block: 1070,  Reward: 27.6 Cleared lines: 414, col1: 253, col2: 68, col3: 7, col4: 1 
Epoch: 154 / 3000, Score: 46500,  block: 1021,  Reward: 24.4 Cleared lines: 392, col1: 264, col2: 55, col3: 6, col4: 0 
Epoch: 155 / 3000, Score: 22800,  block: 575,  Reward: 11.2 Cleared lines: 215, col1: 153, col2: 31, col3: 0, col4: 0 
Epoch: 156 / 3000, Score: 70700,  block: 1475,  Reward: 37.2 Cleared lines: 573, col1: 374, col2: 84, col3: 9, col4: 1 
Epoch: 157 / 3000, Score: 143700,  block: 3001,  Reward: 76.6 Cleared lines: 1197, col1: 837, col2: 158, col3: 12, col4: 2 
Epoch: 158 / 3000, Score: 120200,  block: 2451,  Reward: 62.5 Cleared lines: 964, col1: 629, col2: 140, col3: 17, col4: 1 
Epoch: 159 / 3000, Score: 33500,  block: 788,  Reward: 16.4 Cleared lines: 300, col1: 212, col2: 41, col3: 2, col4: 0 
Epoch: 160 / 3000, Score: 144100,  block: 2865,  Reward: 76.6 Cleared lines: 1129, col1: 721, col2: 168, col3: 20, col4: 3 
Epoch: 161 / 3000, Score: 150800,  block: 3001,  Reward: 80.9 Cleared lines: 1198, col1: 818, col2: 152, col3: 20, col4: 4 
Epoch: 162 / 3000, Score: 129500,  block: 2745,  Reward: 65.8 Cleared lines: 1081, col1: 740, col2: 152, col3: 11, col4: 1 
Epoch: 163 / 3000, Score: 62100,  block: 1329,  Reward: 32.4 Cleared lines: 514, col1: 351, col2: 69, col3: 7, col4: 1 
Epoch: 164 / 3000, Score: 147100,  block: 3001,  Reward: 78.5 Cleared lines: 1198, col1: 784, col2: 181, col3: 16, col4: 1 
Epoch: 165 / 3000, Score: 146200,  block: 3001,  Reward: 78.0 Cleared lines: 1196, col1: 784, col2: 184, col3: 12, col4: 2 
Epoch: 166 / 3000, Score: 24400,  block: 593,  Reward: 12.6 Cleared lines: 220, col1: 145, col2: 36, col3: 1, col4: 0 
Epoch: 167 / 3000, Score: 42600,  block: 942,  Reward: 22.0 Cleared lines: 361, col1: 246, col2: 51, col3: 3, col4: 1 
Epoch: 168 / 3000, Score: 145200,  block: 3001,  Reward: 77.6 Cleared lines: 1198, col1: 804, col2: 174, col3: 14, col4: 1 
Epoch: 169 / 3000, Score: 48500,  block: 956,  Reward: 25.3 Cleared lines: 366, col1: 224, col2: 51, col3: 12, col4: 1 
Epoch: 170 / 3000, Score: 148200,  block: 2963,  Reward: 79.1 Cleared lines: 1168, col1: 708, col2: 198, col3: 20, col4: 1 
Epoch: 171 / 3000, Score: 145000,  block: 3001,  Reward: 76.7 Cleared lines: 1199, col1: 802, col2: 177, col3: 13, col4: 1 
Epoch: 172 / 3000, Score: 56200,  block: 1239,  Reward: 29.2 Cleared lines: 479, col1: 322, col2: 71, col3: 5, col4: 0 
Epoch: 173 / 3000, Score: 47300,  block: 999,  Reward: 23.8 Cleared lines: 383, col1: 245, col2: 58, col3: 6, col4: 1 
Epoch: 174 / 3000, Score: 62800,  block: 1321,  Reward: 33.1 Cleared lines: 513, col1: 346, col2: 73, col3: 3, col4: 3 
Epoch: 175 / 3000, Score: 69700,  block: 1526,  Reward: 36.7 Cleared lines: 594, col1: 388, col2: 97, col3: 4, col4: 0 
Epoch: 176 / 3000, Score: 144900,  block: 3001,  Reward: 76.3 Cleared lines: 1198, col1: 822, col2: 161, col3: 18, col4: 0 
Epoch: 177 / 3000, Score: 146800,  block: 3001,  Reward: 79.3 Cleared lines: 1196, col1: 790, col2: 178, col3: 14, col4: 2 
Epoch: 178 / 3000, Score: 148400,  block: 3001,  Reward: 78.5 Cleared lines: 1199, col1: 794, col2: 173, col3: 17, col4: 2 
Epoch: 179 / 3000, Score: 62300,  block: 1323,  Reward: 33.2 Cleared lines: 512, col1: 341, col2: 73, col3: 7, col4: 1 
Epoch: 180 / 3000, Score: 152000,  block: 3001,  Reward: 79.0 Cleared lines: 1193, col1: 788, col2: 163, col3: 21, col4: 4 
Epoch: 181 / 3000, Score: 145800,  block: 3001,  Reward: 76.9 Cleared lines: 1195, col1: 807, col2: 169, col3: 14, col4: 2 
Epoch: 182 / 3000, Score: 16200,  block: 421,  Reward: 7.9 Cleared lines: 153, col1: 123, col2: 13, col3: 0, col4: 1 
Epoch: 183 / 3000, Score: 130200,  block: 2703,  Reward: 66.6 Cleared lines: 1065, col1: 714, col2: 151, col3: 15, col4: 1 
Epoch: 184 / 3000, Score: 132700,  block: 2681,  Reward: 69.2 Cleared lines: 1058, col1: 691, col2: 155, col3: 15, col4: 3 
Epoch: 185 / 3000, Score: 69600,  block: 1489,  Reward: 36.6 Cleared lines: 580, col1: 387, col2: 88, col3: 3, col4: 2 
Epoch: 186 / 3000, Score: 154500,  block: 3001,  Reward: 82.1 Cleared lines: 1197, col1: 774, col2: 164, col3: 29, col4: 2 
Epoch: 187 / 3000, Score: 152100,  block: 3001,  Reward: 79.3 Cleared lines: 1198, col1: 762, col2: 187, col3: 14, col4: 5 
Epoch: 188 / 3000, Score: 141600,  block: 3001,  Reward: 76.6 Cleared lines: 1198, col1: 831, col2: 168, col3: 9, col4: 1 
Epoch: 189 / 3000, Score: 131000,  block: 2674,  Reward: 68.1 Cleared lines: 1055, col1: 698, col2: 153, col3: 13, col4: 3 
Epoch: 190 / 3000, Score: 134900,  block: 2803,  Reward: 69.7 Cleared lines: 1107, col1: 731, col2: 164, col3: 16, col4: 0 
Epoch: 191 / 3000, Score: 153500,  block: 3001,  Reward: 82.0 Cleared lines: 1199, col1: 737, col2: 194, col3: 22, col4: 2 
Epoch: 192 / 3000, Score: 118800,  block: 2501,  Reward: 63.6 Cleared lines: 985, col1: 660, col2: 143, col3: 13, col4: 0 
