start...
Epoch: 1 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 100000, Score: -5000,  block: 14,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 3 / 100000, Score: -5000,  block: 26,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 100000, Score: -5000,  block: 34,  Reward: -0.7 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 100000, Score: -5000,  block: 29,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 100000, Score: -5000,  block: 23,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 100000, Score: -5000,  block: 31,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 8 / 100000, Score: -5000,  block: 32,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 100000, Score: -5000,  block: 29,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 10 / 100000, Score: -5000,  block: 27,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 100000, Score: -5000,  block: 15,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 100000, Score: -5000,  block: 27,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 100000, Score: -5000,  block: 15,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 100000, Score: -5000,  block: 22,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 100000, Score: -5000,  block: 22,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 100000, Score: -5000,  block: 15,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 100000, Score: -5000,  block: 20,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 20 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 21 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 22 / 100000, Score: -5000,  block: 23,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 23 / 100000, Score: -5000,  block: 12,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 24 / 100000, Score: -5000,  block: 21,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 25 / 100000, Score: -5000,  block: 21,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 26 / 100000, Score: -5000,  block: 14,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 27 / 100000, Score: -5000,  block: 15,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 28 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 29 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 30 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 31 / 100000, Score: -5000,  block: 12,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 32 / 100000, Score: -5000,  block: 22,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 33 / 100000, Score: -5000,  block: 26,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 34 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 35 / 100000, Score: -5000,  block: 11,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 36 / 100000, Score: -5000,  block: 20,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 37 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 38 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 39 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 40 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 41 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 42 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 43 / 100000, Score: -5000,  block: 22,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 44 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 45 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 46 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 47 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 48 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 49 / 100000, Score: -5000,  block: 12,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 50 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 51 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 52 / 100000, Score: -5000,  block: 14,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 53 / 100000, Score: -5000,  block: 14,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 54 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 55 / 100000, Score: -5000,  block: 20,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 56 / 100000, Score: -5000,  block: 20,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 57 / 100000, Score: -5000,  block: 11,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 58 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 59 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 60 / 100000, Score: -5000,  block: 21,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 61 / 100000, Score: -5000,  block: 20,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 62 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 63 / 100000, Score: -5000,  block: 13,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 64 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 65 / 100000, Score: -5000,  block: 15,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 66 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 67 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 68 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 69 / 100000, Score: -5000,  block: 12,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 70 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 71 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 72 / 100000, Score: -5000,  block: 24,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 73 / 100000, Score: -5000,  block: 13,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 74 / 100000, Score: -5000,  block: 15,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 75 / 100000, Score: -5000,  block: 15,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 76 / 100000, Score: -5000,  block: 23,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 77 / 100000, Score: -5000,  block: 13,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 78 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 79 / 100000, Score: -5000,  block: 13,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 80 / 100000, Score: -5000,  block: 14,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 81 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 82 / 100000, Score: -5000,  block: 19,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 83 / 100000, Score: -5000,  block: 20,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 84 / 100000, Score: -5000,  block: 20,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 85 / 100000, Score: -5000,  block: 16,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 86 / 100000, Score: -5000,  block: 20,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 87 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 88 / 100000, Score: -5000,  block: 27,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 89 / 100000, Score: -5000,  block: 15,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 90 / 100000, Score: -5000,  block: 22,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 91 / 100000, Score: -5000,  block: 13,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 92 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 93 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 94 / 100000, Score: -5000,  block: 21,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 95 / 100000, Score: -5000,  block: 14,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 96 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 97 / 100000, Score: -5000,  block: 17,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 98 / 100000, Score: -5000,  block: 18,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 99 / 100000, Score: -5000,  block: 21,  Reward: -0.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 100 / 100000, Score: -5000,  block: 21,  Reward: -0.8 Cleared lines: 0, col: 0/0/0/0 
