start...
Finetuning mode
Load outputs/2022-09-07-23-55-35/trained_model/tetris_epoch2514_score49300.pt...
Epoch: 1 / 100000, Score: 14000,  block: 301,  Reward: -447.3962 Cleared lines: 121, col: 83/16/2/0 
Epoch: 2 / 100000, Score: 13500,  block: 301,  Reward: -445.2140 Cleared lines: 120, col: 90/12/2/0 
Epoch: 3 / 100000, Score: 12700,  block: 301,  Reward: -196.7418 Cleared lines: 121, col: 99/11/0/0 
Epoch: 4 / 100000, Score: 13800,  block: 301,  Reward: -358.4525 Cleared lines: 121, col: 87/14/2/0 
Epoch: 5 / 100000, Score: 13900,  block: 301,  Reward: -398.6575 Cleared lines: 124, col: 89/16/1/0 
Epoch: 6 / 100000, Score: 13200,  block: 301,  Reward: -195.0040 Cleared lines: 122, col: 97/11/1/0 
Epoch: 7 / 100000, Score: 13800,  block: 301,  Reward: -224.0028 Cleared lines: 122, col: 85/17/1/0 
Epoch: 8 / 100000, Score: 0,  block: 30,  Reward: -91.5848 Cleared lines: 5, col: 5/0/0/0 
Epoch: 9 / 100000, Score: 13400,  block: 301,  Reward: -537.2367 Cleared lines: 119, col: 84/16/1/0 
Epoch: 10 / 100000, Score: 14000,  block: 301,  Reward: -287.1702 Cleared lines: 123, col: 84/18/1/0 
Epoch: 11 / 100000, Score: 12800,  block: 301,  Reward: -176.7397 Cleared lines: 122, col: 105/7/1/0 
Epoch: 12 / 100000, Score: 1200,  block: 61,  Reward: -170.8287 Cleared lines: 15, col: 11/2/0/0 
Epoch: 13 / 100000, Score: 12900,  block: 301,  Reward: -230.9445 Cleared lines: 121, col: 95/13/0/0 
Epoch: 14 / 100000, Score: 13600,  block: 301,  Reward: -428.3672 Cleared lines: 120, col: 93/9/3/0 
Epoch: 15 / 100000, Score: 13400,  block: 301,  Reward: -243.0590 Cleared lines: 123, col: 91/16/0/0 
Epoch: 16 / 100000, Score: 14100,  block: 301,  Reward: -654.3738 Cleared lines: 120, col: 82/17/0/1 
Epoch: 17 / 100000, Score: 13200,  block: 301,  Reward: -284.2700 Cleared lines: 120, col: 91/13/1/0 
Epoch: 18 / 100000, Score: 13300,  block: 301,  Reward: -217.9188 Cleared lines: 121, col: 92/13/1/0 
Epoch: 19 / 100000, Score: 13300,  block: 301,  Reward: -308.3723 Cleared lines: 122, col: 95/12/1/0 
Epoch: 20 / 100000, Score: 15200,  block: 301,  Reward: -283.2532 Cleared lines: 121, col: 73/19/2/1 
Epoch: 21 / 100000, Score: 13600,  block: 301,  Reward: -375.6277 Cleared lines: 122, col: 89/15/1/0 
Epoch: 22 / 100000, Score: 14000,  block: 301,  Reward: -232.2815 Cleared lines: 122, col: 86/15/2/0 
Epoch: 23 / 100000, Score: 14200,  block: 301,  Reward: -331.4985 Cleared lines: 123, col: 80/20/1/0 
Epoch: 24 / 100000, Score: 14200,  block: 301,  Reward: -227.1592 Cleared lines: 122, col: 82/17/2/0 
Epoch: 25 / 100000, Score: 13500,  block: 301,  Reward: -270.6680 Cleared lines: 124, col: 92/16/0/0 
Epoch: 26 / 100000, Score: 13800,  block: 301,  Reward: -391.8350 Cleared lines: 121, col: 77/22/0/0 
Epoch: 27 / 100000, Score: 13600,  block: 301,  Reward: -291.0457 Cleared lines: 123, col: 87/18/0/0 
Epoch: 28 / 100000, Score: 13100,  block: 301,  Reward: -285.3868 Cleared lines: 122, col: 94/14/0/0 
Epoch: 29 / 100000, Score: 14700,  block: 301,  Reward: -296.5682 Cleared lines: 123, col: 90/9/5/0 
Epoch: 30 / 100000, Score: 14200,  block: 301,  Reward: -342.2612 Cleared lines: 123, col: 80/20/1/0 
Epoch: 31 / 100000, Score: 13200,  block: 301,  Reward: -297.1535 Cleared lines: 122, col: 92/15/0/0 
Epoch: 32 / 100000, Score: 14300,  block: 301,  Reward: -388.6745 Cleared lines: 123, col: 78/21/1/0 
Epoch: 33 / 100000, Score: 14700,  block: 301,  Reward: -302.2835 Cleared lines: 123, col: 80/17/3/0 
Epoch: 34 / 100000, Score: 14800,  block: 301,  Reward: -604.0673 Cleared lines: 119, col: 61/26/2/0 
Epoch: 35 / 100000, Score: 15100,  block: 301,  Reward: -413.9493 Cleared lines: 122, col: 79/14/5/0 
Epoch: 36 / 100000, Score: 1300,  block: 53,  Reward: -150.8167 Cleared lines: 12, col: 5/2/1/0 
Epoch: 37 / 100000, Score: 14000,  block: 301,  Reward: -386.5595 Cleared lines: 122, col: 81/19/1/0 
Epoch: 38 / 100000, Score: 12700,  block: 301,  Reward: -431.6003 Cleared lines: 121, col: 99/11/0/0 
Epoch: 39 / 100000, Score: 13700,  block: 301,  Reward: -639.3812 Cleared lines: 116, col: 74/18/2/0 
Epoch: 40 / 100000, Score: 13800,  block: 301,  Reward: -294.8225 Cleared lines: 122, col: 90/13/2/0 
Epoch: 41 / 100000, Score: 12900,  block: 301,  Reward: -240.5797 Cleared lines: 121, col: 95/13/0/0 
Epoch: 42 / 100000, Score: 14200,  block: 301,  Reward: -361.0808 Cleared lines: 122, col: 77/21/1/0 
Epoch: 43 / 100000, Score: 13400,  block: 301,  Reward: -337.8550 Cleared lines: 123, col: 91/16/0/0 
Epoch: 44 / 100000, Score: 13500,  block: 301,  Reward: -169.0803 Cleared lines: 123, col: 94/13/1/0 
Epoch: 45 / 100000, Score: 13900,  block: 301,  Reward: -359.8863 Cleared lines: 122, col: 78/22/0/0 
