start...
Epoch: 1 / 5000, Score: -5000,  block: 25,  Reward: -8.9 Cleared lines: 0
Epoch: 2 / 5000, Score: -5000,  block: 28,  Reward: -10.5 Cleared lines: 0
Epoch: 3 / 5000, Score: -5000,  block: 16,  Reward: -6.5 Cleared lines: 0
Epoch: 4 / 5000, Score: -5000,  block: 27,  Reward: -12.0 Cleared lines: 0
Epoch: 5 / 5000, Score: -5000,  block: 23,  Reward: -8.7 Cleared lines: 0
Epoch: 6 / 5000, Score: -5000,  block: 23,  Reward: -9.3 Cleared lines: 0
Epoch: 7 / 5000, Score: -5000,  block: 25,  Reward: -10.7 Cleared lines: 0
Epoch: 8 / 5000, Score: -5000,  block: 16,  Reward: -7.0 Cleared lines: 0
Epoch: 9 / 5000, Score: -5000,  block: 20,  Reward: -10.8 Cleared lines: 0
Epoch: 10 / 5000, Score: -5000,  block: 18,  Reward: -7.5 Cleared lines: 0
Epoch: 11 / 5000, Score: -5000,  block: 19,  Reward: -8.3 Cleared lines: 0
Epoch: 12 / 5000, Score: -5000,  block: 21,  Reward: -9.1 Cleared lines: 0
Epoch: 13 / 5000, Score: -5000,  block: 23,  Reward: -11.8 Cleared lines: 0
Epoch: 14 / 5000, Score: -5000,  block: 28,  Reward: -11.3 Cleared lines: 0
Epoch: 15 / 5000, Score: -5000,  block: 22,  Reward: -11.3 Cleared lines: 0
Epoch: 16 / 5000, Score: -5000,  block: 15,  Reward: -5.5 Cleared lines: 0
Epoch: 17 / 5000, Score: -5000,  block: 17,  Reward: -8.0 Cleared lines: 0
Epoch: 18 / 5000, Score: -5000,  block: 25,  Reward: -11.3 Cleared lines: 0
Epoch: 19 / 5000, Score: -5000,  block: 27,  Reward: -12.3 Cleared lines: 0
Epoch: 20 / 5000, Score: -5000,  block: 21,  Reward: -9.2 Cleared lines: 0
Epoch: 21 / 5000, Score: -5000,  block: 21,  Reward: -8.4 Cleared lines: 0
Epoch: 22 / 5000, Score: -5000,  block: 24,  Reward: -10.7 Cleared lines: 0
Epoch: 23 / 5000, Score: -5000,  block: 27,  Reward: -10.7 Cleared lines: 0
Epoch: 24 / 5000, Score: -5000,  block: 27,  Reward: -12.2 Cleared lines: 0
Epoch: 25 / 5000, Score: -5000,  block: 26,  Reward: -11.9 Cleared lines: 0
Epoch: 26 / 5000, Score: -5000,  block: 24,  Reward: -7.5 Cleared lines: 0
Epoch: 27 / 5000, Score: -5000,  block: 22,  Reward: -8.1 Cleared lines: 0
Epoch: 28 / 5000, Score: -5000,  block: 19,  Reward: -8.4 Cleared lines: 0
Epoch: 29 / 5000, Score: -5000,  block: 24,  Reward: -7.5 Cleared lines: 0
Epoch: 30 / 5000, Score: -5000,  block: 21,  Reward: -9.5 Cleared lines: 0
Epoch: 31 / 5000, Score: -5000,  block: 18,  Reward: -6.8 Cleared lines: 0
Epoch: 32 / 5000, Score: -5000,  block: 18,  Reward: -8.2 Cleared lines: 0
Epoch: 33 / 5000, Score: -5000,  block: 25,  Reward: -11.4 Cleared lines: 0
Epoch: 34 / 5000, Score: -5000,  block: 17,  Reward: -7.3 Cleared lines: 0
Epoch: 35 / 5000, Score: -5000,  block: 22,  Reward: -8.8 Cleared lines: 0
Epoch: 36 / 5000, Score: -5000,  block: 16,  Reward: -7.1 Cleared lines: 0
Epoch: 37 / 5000, Score: -5000,  block: 29,  Reward: -9.9 Cleared lines: 0
Epoch: 38 / 5000, Score: -4900,  block: 20,  Reward: -8.7 Cleared lines: 1
Epoch: 39 / 5000, Score: -5000,  block: 29,  Reward: -11.7 Cleared lines: 0
Epoch: 40 / 5000, Score: -5000,  block: 27,  Reward: -13.6 Cleared lines: 0
Epoch: 41 / 5000, Score: -5000,  block: 23,  Reward: -9.4 Cleared lines: 0
Epoch: 42 / 5000, Score: -5000,  block: 19,  Reward: -9.3 Cleared lines: 0
Epoch: 43 / 5000, Score: -5000,  block: 24,  Reward: -8.5 Cleared lines: 0
Epoch: 44 / 5000, Score: -5000,  block: 20,  Reward: -6.9 Cleared lines: 0
Epoch: 45 / 5000, Score: -5000,  block: 16,  Reward: -7.8 Cleared lines: 0
Epoch: 46 / 5000, Score: -5000,  block: 16,  Reward: -5.3 Cleared lines: 0
Epoch: 47 / 5000, Score: -5000,  block: 17,  Reward: -7.0 Cleared lines: 0
Epoch: 48 / 5000, Score: -5000,  block: 20,  Reward: -8.6 Cleared lines: 0
Epoch: 49 / 5000, Score: -5000,  block: 27,  Reward: -10.6 Cleared lines: 0
Epoch: 50 / 5000, Score: -5000,  block: 23,  Reward: -10.8 Cleared lines: 0
Epoch: 51 / 5000, Score: -5000,  block: 19,  Reward: -7.6 Cleared lines: 0
Epoch: 52 / 5000, Score: -5000,  block: 18,  Reward: -7.5 Cleared lines: 0
Epoch: 53 / 5000, Score: -5000,  block: 21,  Reward: -9.3 Cleared lines: 0
Epoch: 54 / 5000, Score: -5000,  block: 19,  Reward: -7.0 Cleared lines: 0
Epoch: 55 / 5000, Score: -5000,  block: 23,  Reward: -10.5 Cleared lines: 0
Epoch: 56 / 5000, Score: -4900,  block: 30,  Reward: -11.8 Cleared lines: 1
Epoch: 57 / 5000, Score: -5000,  block: 25,  Reward: -12.2 Cleared lines: 0
Epoch: 58 / 5000, Score: -5000,  block: 22,  Reward: -11.9 Cleared lines: 0
Epoch: 59 / 5000, Score: -5000,  block: 23,  Reward: -11.2 Cleared lines: 0
Epoch: 60 / 5000, Score: -5000,  block: 23,  Reward: -10.5 Cleared lines: 0
Epoch: 61 / 5000, Score: -5000,  block: 34,  Reward: -14.8 Cleared lines: 0
Epoch: 62 / 5000, Score: -5000,  block: 22,  Reward: -9.0 Cleared lines: 0
Epoch: 63 / 5000, Score: -5000,  block: 21,  Reward: -9.4 Cleared lines: 0
Epoch: 64 / 5000, Score: -5000,  block: 20,  Reward: -10.1 Cleared lines: 0
Epoch: 65 / 5000, Score: -5000,  block: 26,  Reward: -10.9 Cleared lines: 0
Epoch: 66 / 5000, Score: -5000,  block: 19,  Reward: -9.7 Cleared lines: 0
