start...
Finetuning mode
Load outputs/2022-08-17-08-15-23/trained_model/tetris_epoch28_score179300.pt...
Epoch: 1 / 100000, Score: 15100,  block: 301,  Reward: 385.6240 Cleared lines: 120, col: 62/27/0/1 
Epoch: 2 / 100000, Score: 2000,  block: 71,  Reward: 28.2240 Cleared lines: 19, col: 12/2/1/0 
Epoch: 3 / 100000, Score: 14200,  block: 301,  Reward: 266.1720 Cleared lines: 118, col: 65/25/1/0 
Epoch: 4 / 100000, Score: 15100,  block: 301,  Reward: 428.0520 Cleared lines: 121, col: 71/19/4/0 
Epoch: 5 / 100000, Score: 1300,  block: 30,  Reward: 2.9680 Cleared lines: 8, col: 2/1/0/1 
Epoch: 6 / 100000, Score: 13200,  block: 301,  Reward: 350.3160 Cleared lines: 118, col: 80/19/0/0 
Epoch: 7 / 100000, Score: 13500,  block: 301,  Reward: 369.1000 Cleared lines: 119, col: 82/17/1/0 
Epoch: 8 / 100000, Score: 13600,  block: 301,  Reward: 358.0800 Cleared lines: 120, col: 83/17/1/0 
Epoch: 9 / 100000, Score: 11800,  block: 286,  Reward: 237.5080 Cleared lines: 103, col: 68/16/1/0 
Epoch: 10 / 100000, Score: 14100,  block: 301,  Reward: 311.1200 Cleared lines: 122, col: 74/24/0/0 
Epoch: 11 / 100000, Score: 8100,  block: 214,  Reward: 172.3080 Cleared lines: 76, col: 56/10/0/0 
Epoch: 12 / 100000, Score: 14600,  block: 301,  Reward: 464.1920 Cleared lines: 123, col: 82/16/3/0 
Epoch: 13 / 100000, Score: 2800,  block: 96,  Reward: 65.4720 Cleared lines: 27, col: 15/6/0/0 
Epoch: 14 / 100000, Score: 13900,  block: 301,  Reward: 383.6720 Cleared lines: 122, col: 83/18/1/0 
Epoch: 15 / 100000, Score: 13000,  block: 301,  Reward: 416.5520 Cleared lines: 117, col: 81/18/0/0 
Epoch: 16 / 100000, Score: 1400,  block: 68,  Reward: 46.1120 Cleared lines: 18, col: 16/1/0/0 
Epoch: 17 / 100000, Score: 14700,  block: 301,  Reward: 338.8120 Cleared lines: 119, col: 77/16/2/1 
Epoch: 18 / 100000, Score: 13100,  block: 301,  Reward: 422.4200 Cleared lines: 115, col: 78/17/1/0 
Epoch: 19 / 100000, Score: 13300,  block: 301,  Reward: 450.4760 Cleared lines: 117, col: 85/13/2/0 
Epoch: 20 / 100000, Score: 13200,  block: 301,  Reward: 304.6360 Cleared lines: 115, col: 76/18/1/0 
Epoch: 21 / 100000, Score: 13300,  block: 301,  Reward: 202.8960 Cleared lines: 118, col: 92/11/0/1 
Epoch: 22 / 100000, Score: 4300,  block: 119,  Reward: 32.7480 Cleared lines: 38, col: 23/6/1/0 
Epoch: 23 / 100000, Score: 8800,  block: 214,  Reward: 115.0040 Cleared lines: 76, col: 47/13/1/0 
Epoch: 24 / 100000, Score: 13000,  block: 301,  Reward: 492.8480 Cleared lines: 115, col: 80/16/1/0 
Epoch: 25 / 100000, Score: 900,  block: 54,  Reward: 8.5800 Cleared lines: 12, col: 8/2/0/0 
Epoch: 26 / 100000, Score: 15300,  block: 301,  Reward: 436.0080 Cleared lines: 112, col: 59/17/5/1 
Epoch: 27 / 100000, Score: 14100,  block: 301,  Reward: 423.3800 Cleared lines: 121, col: 76/21/1/0 
Epoch: 28 / 100000, Score: 13900,  block: 301,  Reward: 380.6880 Cleared lines: 121, col: 85/15/2/0 
Epoch: 29 / 100000, Score: 16100,  block: 301,  Reward: 482.8840 Cleared lines: 123, col: 71/18/4/1 
Epoch: 30 / 100000, Score: 7900,  block: 205,  Reward: 336.4640 Cleared lines: 70, col: 42/14/0/0 
Epoch: 31 / 100000, Score: 12900,  block: 301,  Reward: 218.3480 Cleared lines: 115, col: 87/11/2/0 
Epoch: 32 / 100000, Score: 14200,  block: 301,  Reward: 299.6120 Cleared lines: 121, col: 84/14/3/0 
Epoch: 33 / 100000, Score: 14200,  block: 301,  Reward: 428.1320 Cleared lines: 120, col: 71/23/1/0 
Epoch: 34 / 100000, Score: 15900,  block: 301,  Reward: 440.2200 Cleared lines: 121, col: 73/17/2/2 
