start...
Finetuning mode
Load outputs/2022-09-05-23-06-53/trained_model/tetris_epoch866_score56300.pt...
Epoch: 1 / 100000, Score: 53700,  block: 1001,  Reward: 2183.4035 Cleared lines: 400, col: 228/59/14/3 
Epoch: 2 / 100000, Score: 49800,  block: 1001,  Reward: 2101.1085 Cleared lines: 401, col: 237/70/8/0 
Epoch: 3 / 100000, Score: 51500,  block: 1001,  Reward: 2175.1810 Cleared lines: 398, col: 209/78/11/0 
Epoch: 4 / 100000, Score: 49700,  block: 1001,  Reward: 2170.4380 Cleared lines: 399, col: 237/70/6/1 
Epoch: 5 / 100000, Score: 51300,  block: 1001,  Reward: 2095.3685 Cleared lines: 400, col: 226/75/4/3 
Epoch: 6 / 100000, Score: 53700,  block: 1001,  Reward: 2139.6360 Cleared lines: 400, col: 214/68/14/2 
Epoch: 7 / 100000, Score: 54400,  block: 1001,  Reward: 2133.0710 Cleared lines: 399, col: 214/69/9/5 
Epoch: 8 / 100000, Score: 48600,  block: 1001,  Reward: 2074.2590 Cleared lines: 400, col: 262/58/6/1 
Epoch: 9 / 100000, Score: 51600,  block: 1001,  Reward: 2062.1960 Cleared lines: 399, col: 219/73/10/1 
Epoch: 10 / 100000, Score: 50500,  block: 1001,  Reward: 2095.7570 Cleared lines: 398, col: 242/62/8/2 
Epoch: 11 / 100000, Score: 51100,  block: 1001,  Reward: 2211.6190 Cleared lines: 401, col: 241/59/14/0 
Epoch: 12 / 100000, Score: 22800,  block: 465,  Reward: 1092.1060 Cleared lines: 177, col: 99/31/4/1 
Epoch: 13 / 100000, Score: 55500,  block: 1001,  Reward: 2215.0315 Cleared lines: 401, col: 199/75/12/4 
Epoch: 14 / 100000, Score: 55000,  block: 1001,  Reward: 2202.3775 Cleared lines: 398, col: 211/62/17/3 
Epoch: 15 / 100000, Score: 51200,  block: 1001,  Reward: 2172.2735 Cleared lines: 399, col: 232/65/11/1 
Epoch: 16 / 100000, Score: 49600,  block: 1001,  Reward: 2165.4820 Cleared lines: 400, col: 228/77/6/0 
Epoch: 17 / 100000, Score: 56700,  block: 1001,  Reward: 2344.9155 Cleared lines: 400, col: 222/59/8/9 
Epoch: 18 / 100000, Score: 50800,  block: 1001,  Reward: 2239.0790 Cleared lines: 400, col: 239/61/13/0 
Epoch: 19 / 100000, Score: 2300,  block: 79,  Reward: 140.3325 Cleared lines: 22, col: 15/2/1/0 
Epoch: 20 / 100000, Score: 49000,  block: 1001,  Reward: 2074.7930 Cleared lines: 400, col: 259/58/7/1 
Epoch: 21 / 100000, Score: 51000,  block: 1001,  Reward: 2326.5075 Cleared lines: 399, col: 241/59/12/1 
Epoch: 22 / 100000, Score: 12600,  block: 286,  Reward: 607.7210 Cleared lines: 102, col: 63/16/1/1 
