start...
Finetuning mode
Load outputs/2022-08-15-23-33-28/trained_model/tetris_epoch541_score158800.pt...
Epoch: 1 / 3000, Score: 155500,  block: 3001,  Reward: 50.3 Cleared lines: 1198, col1: 718, col2: 207, col3: 18, col4: 3 
Epoch: 2 / 3000, Score: 149100,  block: 3001,  Reward: 47.4 Cleared lines: 1196, col1: 732, col2: 202, col3: 20, col4: 0 
Epoch: 3 / 3000, Score: 162900,  block: 3001,  Reward: 48.3 Cleared lines: 1194, col1: 705, col2: 197, col3: 25, col4: 5 
Epoch: 4 / 3000, Score: 156900,  block: 3001,  Reward: 53.0 Cleared lines: 1197, col1: 717, col2: 197, col3: 26, col4: 2 
Epoch: 5 / 3000, Score: 151200,  block: 3001,  Reward: 52.1 Cleared lines: 1199, col1: 741, col2: 197, col3: 20, col4: 1 
Epoch: 6 / 3000, Score: 150900,  block: 3001,  Reward: 47.6 Cleared lines: 1194, col1: 774, col2: 176, col3: 20, col4: 2 
Epoch: 7 / 3000, Score: 150100,  block: 3001,  Reward: 50.6 Cleared lines: 1197, col1: 775, col2: 176, col3: 22, col4: 1 
Epoch: 8 / 3000, Score: 158000,  block: 3001,  Reward: 52.5 Cleared lines: 1198, col1: 734, col2: 198, col3: 16, col4: 5 
Epoch: 9 / 3000, Score: 153900,  block: 3001,  Reward: 45.3 Cleared lines: 1199, col1: 777, col2: 179, col3: 16, col4: 4 
Epoch: 10 / 3000, Score: 153300,  block: 3001,  Reward: 49.1 Cleared lines: 1194, col1: 735, col2: 194, col3: 21, col4: 2 
Epoch: 11 / 3000, Score: 145000,  block: 3001,  Reward: 49.6 Cleared lines: 1196, col1: 784, col2: 186, col3: 12, col4: 1 
Epoch: 12 / 3000, Score: 153700,  block: 3001,  Reward: 47.6 Cleared lines: 1196, col1: 772, col2: 180, col3: 16, col4: 4 
Epoch: 13 / 3000, Score: 99200,  block: 2057,  Reward: 31.4 Cleared lines: 806, col1: 521, col2: 124, col3: 11, col4: 1 
Epoch: 14 / 3000, Score: 148300,  block: 3001,  Reward: 50.4 Cleared lines: 1198, col1: 805, col2: 163, col3: 21, col4: 1 
Epoch: 15 / 3000, Score: 149700,  block: 3001,  Reward: 49.6 Cleared lines: 1192, col1: 783, col2: 172, col3: 19, col4: 2 
Epoch: 16 / 3000, Score: 146200,  block: 3001,  Reward: 48.5 Cleared lines: 1198, col1: 787, col2: 177, col3: 19, col4: 0 
Epoch: 17 / 3000, Score: 147300,  block: 3001,  Reward: 43.5 Cleared lines: 1194, col1: 792, col2: 176, col3: 14, col4: 2 
Epoch: 18 / 3000, Score: 154600,  block: 3001,  Reward: 52.5 Cleared lines: 1197, col1: 772, col2: 183, col3: 13, col4: 5 
Epoch: 19 / 3000, Score: 151900,  block: 3001,  Reward: 47.4 Cleared lines: 1199, col1: 778, col2: 175, col3: 21, col4: 2 
Epoch: 20 / 3000, Score: 154400,  block: 3001,  Reward: 45.5 Cleared lines: 1198, col1: 731, col2: 202, col3: 17, col4: 3 
Epoch: 21 / 3000, Score: 155000,  block: 3001,  Reward: 49.5 Cleared lines: 1199, col1: 749, col2: 189, col3: 20, col4: 3 
Epoch: 22 / 3000, Score: 48100,  block: 1026,  Reward: 13.7 Cleared lines: 393, col1: 259, col2: 56, col3: 6, col4: 1 
Epoch: 23 / 3000, Score: 145700,  block: 3001,  Reward: 49.8 Cleared lines: 1197, col1: 809, col2: 168, col3: 16, col4: 1 
Epoch: 24 / 3000, Score: 144700,  block: 3001,  Reward: 50.3 Cleared lines: 1199, col1: 808, col2: 174, col3: 13, col4: 1 
Epoch: 25 / 3000, Score: 79400,  block: 1705,  Reward: 23.8 Cleared lines: 665, col1: 440, col2: 103, col3: 5, col4: 1 
Epoch: 26 / 3000, Score: 9000,  block: 256,  Reward: 0.8 Cleared lines: 87, col1: 54, col2: 12, col3: 3, col4: 0 
Epoch: 27 / 3000, Score: 152300,  block: 3001,  Reward: 49.3 Cleared lines: 1198, col1: 749, col2: 192, col3: 19, col4: 2 
Epoch: 28 / 3000, Score: 147900,  block: 3001,  Reward: 49.6 Cleared lines: 1198, col1: 777, col2: 183, col3: 17, col4: 1 
Epoch: 29 / 3000, Score: 154500,  block: 3001,  Reward: 48.3 Cleared lines: 1192, col1: 753, col2: 186, col3: 17, col4: 4 
