start...
Finetuning mode
Load outputs/2022-09-04-15-33-43/trained_model/tetris_epoch1392_score103500.pt...
Epoch: 1 / 100000, Score: 50200,  block: 1001,  Reward: 2190.8925 Cleared lines: 401, col: 233/73/6/1 
Epoch: 2 / 100000, Score: 54200,  block: 1001,  Reward: 2314.0430 Cleared lines: 396, col: 207/65/17/2 
Epoch: 3 / 100000, Score: 49400,  block: 1001,  Reward: 2289.9620 Cleared lines: 399, col: 253/59/8/1 
Epoch: 4 / 100000, Score: 50300,  block: 1001,  Reward: 2257.1230 Cleared lines: 400, col: 239/64/11/0 
Epoch: 5 / 100000, Score: 51300,  block: 1001,  Reward: 2325.1975 Cleared lines: 398, col: 237/59/13/1 
Epoch: 6 / 100000, Score: 50800,  block: 1001,  Reward: 2204.5290 Cleared lines: 400, col: 242/63/8/2 
Epoch: 7 / 100000, Score: 50500,  block: 1001,  Reward: 2197.7925 Cleared lines: 402, col: 226/76/8/0 
Epoch: 8 / 100000, Score: 51200,  block: 1001,  Reward: 2292.2095 Cleared lines: 400, col: 230/68/10/1 
Epoch: 9 / 100000, Score: 49000,  block: 1001,  Reward: 2246.8330 Cleared lines: 390, col: 234/64/8/1 
Epoch: 10 / 100000, Score: 51700,  block: 1001,  Reward: 2196.5800 Cleared lines: 398, col: 218/74/8/2 
Epoch: 11 / 100000, Score: 52800,  block: 1001,  Reward: 2197.3030 Cleared lines: 400, col: 227/63/13/2 
Epoch: 12 / 100000, Score: 52000,  block: 1001,  Reward: 2232.7310 Cleared lines: 399, col: 225/68/10/2 
Epoch: 13 / 100000, Score: 52600,  block: 1001,  Reward: 2322.5100 Cleared lines: 399, col: 222/69/9/3 
Epoch: 14 / 100000, Score: 51800,  block: 1001,  Reward: 2140.7585 Cleared lines: 400, col: 226/72/6/3 
Epoch: 15 / 100000, Score: 53000,  block: 1001,  Reward: 2320.9985 Cleared lines: 400, col: 223/65/13/2 
Epoch: 16 / 100000, Score: 52300,  block: 1001,  Reward: 2240.7095 Cleared lines: 400, col: 218/71/12/1 
Epoch: 17 / 100000, Score: 51700,  block: 1001,  Reward: 2330.7110 Cleared lines: 397, col: 231/60/14/1 
Epoch: 18 / 100000, Score: 50700,  block: 1001,  Reward: 2189.0955 Cleared lines: 398, col: 237/67/5/3 
Epoch: 19 / 100000, Score: 51700,  block: 1001,  Reward: 2170.2135 Cleared lines: 401, col: 238/60/13/1 
Epoch: 20 / 100000, Score: 36800,  block: 711,  Reward: 1627.3700 Cleared lines: 273, col: 156/38/11/2 
Epoch: 21 / 100000, Score: 53200,  block: 1001,  Reward: 2301.8255 Cleared lines: 400, col: 215/68/15/1 
Epoch: 22 / 100000, Score: 50300,  block: 1001,  Reward: 2191.4970 Cleared lines: 399, col: 245/60/10/1 
Epoch: 23 / 100000, Score: 49800,  block: 1000,  Reward: 2353.1410 Cleared lines: 389, col: 229/64/8/2 
Epoch: 24 / 100000, Score: 52200,  block: 1001,  Reward: 2164.9265 Cleared lines: 399, col: 217/71/12/1 
Epoch: 25 / 100000, Score: 49500,  block: 1001,  Reward: 2112.6420 Cleared lines: 400, col: 240/68/8/0 
Epoch: 26 / 100000, Score: 51200,  block: 1001,  Reward: 2139.7610 Cleared lines: 397, col: 227/64/14/0 
Epoch: 27 / 100000, Score: 49500,  block: 1001,  Reward: 2281.3940 Cleared lines: 398, col: 243/65/7/1 
Epoch: 28 / 100000, Score: 51700,  block: 1001,  Reward: 2175.4895 Cleared lines: 398, col: 219/71/11/1 
Epoch: 29 / 100000, Score: 50800,  block: 1001,  Reward: 2137.8875 Cleared lines: 400, col: 224/73/10/0 
Epoch: 30 / 100000, Score: 52000,  block: 1001,  Reward: 2208.3770 Cleared lines: 399, col: 226/65/13/1 
Epoch: 31 / 100000, Score: 49900,  block: 1001,  Reward: 2259.5765 Cleared lines: 400, col: 241/67/7/1 
Epoch: 32 / 100000, Score: 51500,  block: 1001,  Reward: 2204.5625 Cleared lines: 399, col: 236/60/13/1 
Epoch: 33 / 100000, Score: 50300,  block: 1001,  Reward: 2180.4750 Cleared lines: 399, col: 240/64/9/1 
Epoch: 34 / 100000, Score: 51900,  block: 1001,  Reward: 2174.1165 Cleared lines: 400, col: 253/52/9/4 
Epoch: 35 / 100000, Score: 52800,  block: 1001,  Reward: 2177.0840 Cleared lines: 400, col: 240/57/10/4 
Epoch: 36 / 100000, Score: 48800,  block: 1001,  Reward: 2180.8660 Cleared lines: 400, col: 263/56/7/1 
Epoch: 37 / 100000, Score: 51300,  block: 1001,  Reward: 2104.2090 Cleared lines: 402, col: 244/59/12/1 
Epoch: 38 / 100000, Score: 50500,  block: 1001,  Reward: 2152.0970 Cleared lines: 400, col: 245/58/13/0 
Epoch: 39 / 100000, Score: 49500,  block: 1001,  Reward: 2129.9495 Cleared lines: 399, col: 247/61/10/0 
Epoch: 40 / 100000, Score: 50300,  block: 1001,  Reward: 2141.5030 Cleared lines: 400, col: 239/64/11/0 
Epoch: 41 / 100000, Score: 48700,  block: 1001,  Reward: 2248.3305 Cleared lines: 400, col: 256/60/8/0 
Epoch: 42 / 100000, Score: 51600,  block: 1001,  Reward: 2152.3685 Cleared lines: 400, col: 233/61/15/0 
Epoch: 43 / 100000, Score: 50100,  block: 1001,  Reward: 2235.4900 Cleared lines: 400, col: 251/60/7/2 
Epoch: 44 / 100000, Score: 52000,  block: 1001,  Reward: 2277.8790 Cleared lines: 399, col: 234/63/9/3 
Epoch: 45 / 100000, Score: 54300,  block: 1001,  Reward: 2306.4630 Cleared lines: 399, col: 224/55/19/2 
Epoch: 46 / 100000, Score: 48400,  block: 1001,  Reward: 2197.4935 Cleared lines: 398, col: 246/67/6/0 
Epoch: 47 / 100000, Score: 49600,  block: 1001,  Reward: 2095.5095 Cleared lines: 399, col: 244/65/7/1 
Epoch: 48 / 100000, Score: 49600,  block: 1001,  Reward: 2188.0275 Cleared lines: 402, col: 244/67/8/0 
Epoch: 49 / 100000, Score: 49200,  block: 1001,  Reward: 2230.1355 Cleared lines: 399, col: 262/53/9/1 
Epoch: 50 / 100000, Score: 48600,  block: 1001,  Reward: 2253.2235 Cleared lines: 399, col: 259/59/6/1 
Epoch: 51 / 100000, Score: 51800,  block: 1001,  Reward: 2258.8540 Cleared lines: 401, col: 238/66/5/4 
Epoch: 52 / 100000, Score: 50400,  block: 1001,  Reward: 2186.9470 Cleared lines: 399, col: 233/69/8/1 
Epoch: 53 / 100000, Score: 50400,  block: 1001,  Reward: 2273.5695 Cleared lines: 396, col: 238/63/8/2 
Epoch: 54 / 100000, Score: 50900,  block: 1001,  Reward: 2365.2655 Cleared lines: 401, col: 235/65/12/0 
Epoch: 55 / 100000, Score: 49900,  block: 1001,  Reward: 2121.9130 Cleared lines: 399, col: 243/64/8/1 
Epoch: 56 / 100000, Score: 48700,  block: 1001,  Reward: 2266.6110 Cleared lines: 400, col: 246/68/6/0 
Epoch: 57 / 100000, Score: 51700,  block: 1001,  Reward: 2274.3850 Cleared lines: 399, col: 216/77/7/2 
Epoch: 58 / 100000, Score: 50100,  block: 1001,  Reward: 2222.8540 Cleared lines: 402, col: 249/60/11/0 
Epoch: 59 / 100000, Score: 53800,  block: 1001,  Reward: 2313.7255 Cleared lines: 397, col: 216/66/11/4 
Epoch: 60 / 100000, Score: 55600,  block: 1001,  Reward: 2337.1360 Cleared lines: 401, col: 212/64/15/4 
Epoch: 61 / 100000, Score: 51200,  block: 1001,  Reward: 2193.7575 Cleared lines: 397, col: 235/62/10/2 
Epoch: 62 / 100000, Score: 51500,  block: 1001,  Reward: 2321.4240 Cleared lines: 399, col: 231/64/12/1 
Epoch: 63 / 100000, Score: 53900,  block: 1001,  Reward: 2162.7185 Cleared lines: 399, col: 226/58/15/3 
Epoch: 64 / 100000, Score: 50700,  block: 1001,  Reward: 2162.5305 Cleared lines: 397, col: 245/57/10/2 
Epoch: 65 / 100000, Score: 52300,  block: 1001,  Reward: 2181.3600 Cleared lines: 399, col: 224/67/11/2 
Epoch: 66 / 100000, Score: 47600,  block: 1001,  Reward: 2078.4635 Cleared lines: 400, col: 273/53/7/0 
Epoch: 67 / 100000, Score: 48200,  block: 1001,  Reward: 2126.7340 Cleared lines: 400, col: 245/74/1/1 
Epoch: 68 / 100000, Score: 51500,  block: 1001,  Reward: 2306.5950 Cleared lines: 400, col: 238/62/10/2 
Epoch: 69 / 100000, Score: 48300,  block: 1001,  Reward: 2214.4675 Cleared lines: 401, col: 247/71/4/0 
Epoch: 70 / 100000, Score: 51200,  block: 1001,  Reward: 2222.3035 Cleared lines: 401, col: 237/66/8/2 
Epoch: 71 / 100000, Score: 48900,  block: 1001,  Reward: 2160.2990 Cleared lines: 399, col: 257/61/4/2 
Epoch: 72 / 100000, Score: 47900,  block: 1001,  Reward: 2122.3275 Cleared lines: 399, col: 263/60/4/1 
Epoch: 73 / 100000, Score: 48800,  block: 1001,  Reward: 2068.8905 Cleared lines: 398, col: 252/62/6/1 
Epoch: 74 / 100000, Score: 49700,  block: 1001,  Reward: 2155.2545 Cleared lines: 398, col: 244/63/8/1 
Epoch: 75 / 100000, Score: 49300,  block: 1001,  Reward: 2197.7330 Cleared lines: 399, col: 255/58/8/1 
Epoch: 76 / 100000, Score: 50100,  block: 1001,  Reward: 2186.1405 Cleared lines: 397, col: 244/57/13/0 
Epoch: 77 / 100000, Score: 49700,  block: 1001,  Reward: 2329.5340 Cleared lines: 401, col: 253/60/8/1 
Epoch: 78 / 100000, Score: 50600,  block: 1001,  Reward: 2325.5050 Cleared lines: 400, col: 237/66/9/1 
Epoch: 79 / 100000, Score: 48700,  block: 1001,  Reward: 2170.3555 Cleared lines: 401, col: 249/67/6/0 
Epoch: 80 / 100000, Score: 50600,  block: 1001,  Reward: 2168.2515 Cleared lines: 400, col: 242/62/10/1 
Epoch: 81 / 100000, Score: 50600,  block: 1001,  Reward: 2201.6110 Cleared lines: 400, col: 237/66/9/1 
Epoch: 82 / 100000, Score: 50500,  block: 1001,  Reward: 2229.8460 Cleared lines: 401, col: 251/59/8/2 
Epoch: 83 / 100000, Score: 49400,  block: 1001,  Reward: 2117.3595 Cleared lines: 399, col: 243/67/6/1 
Epoch: 84 / 100000, Score: 52400,  block: 1001,  Reward: 2351.2855 Cleared lines: 399, col: 233/57/16/1 
Epoch: 85 / 100000, Score: 51800,  block: 1001,  Reward: 2222.0005 Cleared lines: 398, col: 217/72/11/1 
Epoch: 86 / 100000, Score: 51300,  block: 1001,  Reward: 2177.8270 Cleared lines: 399, col: 221/71/12/0 
Epoch: 87 / 100000, Score: 49100,  block: 1001,  Reward: 2137.0760 Cleared lines: 397, col: 253/58/8/1 
Epoch: 88 / 100000, Score: 47400,  block: 1001,  Reward: 2112.2275 Cleared lines: 398, col: 266/57/6/0 
Epoch: 89 / 100000, Score: 4400,  block: 122,  Reward: 206.6810 Cleared lines: 42, col: 28/7/0/0 
Epoch: 90 / 100000, Score: 51300,  block: 1001,  Reward: 2171.7435 Cleared lines: 400, col: 233/65/11/1 
Epoch: 91 / 100000, Score: 51100,  block: 1001,  Reward: 2150.3025 Cleared lines: 397, col: 233/62/12/1 
Epoch: 92 / 100000, Score: 48700,  block: 1001,  Reward: 2201.7900 Cleared lines: 396, col: 252/62/4/2 
Epoch: 93 / 100000, Score: 51100,  block: 1001,  Reward: 2193.2795 Cleared lines: 396, col: 216/72/12/0 
Epoch: 94 / 100000, Score: 47700,  block: 1001,  Reward: 2220.8925 Cleared lines: 399, col: 268/55/7/0 
Epoch: 95 / 100000, Score: 50800,  block: 1001,  Reward: 2199.8165 Cleared lines: 399, col: 230/69/9/1 
Epoch: 96 / 100000, Score: 51200,  block: 1001,  Reward: 2258.4440 Cleared lines: 399, col: 231/68/8/2 
Epoch: 97 / 100000, Score: 32100,  block: 706,  Reward: 1495.3380 Cleared lines: 271, col: 176/43/3/0 
Epoch: 98 / 100000, Score: 51200,  block: 1001,  Reward: 2267.2740 Cleared lines: 401, col: 233/67/10/1 
Epoch: 99 / 100000, Score: 51100,  block: 1001,  Reward: 2181.9195 Cleared lines: 402, col: 249/54/15/0 
Epoch: 100 / 100000, Score: 48600,  block: 1001,  Reward: 2176.6480 Cleared lines: 399, col: 264/55/7/1 
Epoch: 101 / 100000, Score: 51400,  block: 1001,  Reward: 2222.8605 Cleared lines: 399, col: 222/74/7/2 
Epoch: 102 / 100000, Score: 50300,  block: 1001,  Reward: 2193.3180 Cleared lines: 400, col: 238/67/8/1 
Epoch: 103 / 100000, Score: 50800,  block: 1001,  Reward: 2180.9985 Cleared lines: 397, col: 239/59/12/1 
Epoch: 104 / 100000, Score: 50000,  block: 1001,  Reward: 2136.5790 Cleared lines: 399, col: 250/60/7/2 
Epoch: 105 / 100000, Score: 50300,  block: 1001,  Reward: 2138.9345 Cleared lines: 398, col: 242/61/10/1 
Epoch: 106 / 100000, Score: 14000,  block: 326,  Reward: 732.1790 Cleared lines: 120, col: 75/21/1/0 
Epoch: 107 / 100000, Score: 53400,  block: 1001,  Reward: 2145.9260 Cleared lines: 399, col: 207/74/12/2 
Epoch: 108 / 100000, Score: 51300,  block: 1001,  Reward: 2165.5005 Cleared lines: 399, col: 244/57/11/2 
Epoch: 109 / 100000, Score: 49200,  block: 1001,  Reward: 2193.0570 Cleared lines: 399, col: 262/53/9/1 
Epoch: 110 / 100000, Score: 49300,  block: 1001,  Reward: 2129.9845 Cleared lines: 399, col: 241/67/8/0 
Epoch: 111 / 100000, Score: 48300,  block: 1001,  Reward: 2119.8990 Cleared lines: 400, col: 263/59/5/1 
Epoch: 112 / 100000, Score: 48100,  block: 1001,  Reward: 2154.6170 Cleared lines: 400, col: 263/58/7/0 
Epoch: 113 / 100000, Score: 48100,  block: 1001,  Reward: 2172.6065 Cleared lines: 399, col: 254/66/3/1 
Epoch: 114 / 100000, Score: 50200,  block: 1001,  Reward: 2086.2780 Cleared lines: 402, col: 257/53/13/0 
Epoch: 115 / 100000, Score: 49500,  block: 1001,  Reward: 2158.5530 Cleared lines: 399, col: 265/51/8/2 
Epoch: 116 / 100000, Score: 50900,  block: 1001,  Reward: 2215.0990 Cleared lines: 400, col: 232/66/12/0 
Epoch: 117 / 100000, Score: 50000,  block: 1001,  Reward: 2122.4175 Cleared lines: 398, col: 239/63/11/0 
Epoch: 118 / 100000, Score: 49300,  block: 1001,  Reward: 2187.1410 Cleared lines: 398, col: 252/59/8/1 
