start...
Finetuning mode
Load outputs/2022-08-16-12-47-46/trained_model/tetris_epoch184_score163100.pt...
Epoch: 1 / 3000, Score: 161300,  block: 3001,  Reward: 45.8 Cleared lines: 1198, col: 728/196/18/6 
Epoch: 2 / 3000, Score: 166800,  block: 3001,  Reward: 49.3 Cleared lines: 1196, col: 684/205/26/6 
Epoch: 3 / 3000, Score: 152500,  block: 3001,  Reward: 43.6 Cleared lines: 1197, col: 730/193/27/0 
Epoch: 4 / 3000, Score: 155300,  block: 3001,  Reward: 44.7 Cleared lines: 1198, col: 698/216/20/2 
Epoch: 5 / 3000, Score: 155100,  block: 3001,  Reward: 46.1 Cleared lines: 1199, col: 789/167/20/4 
Epoch: 6 / 3000, Score: 151500,  block: 3001,  Reward: 45.1 Cleared lines: 1196, col: 744/191/22/1 
Epoch: 7 / 3000, Score: 160600,  block: 3001,  Reward: 46.6 Cleared lines: 1196, col: 697/207/23/4 
Epoch: 8 / 3000, Score: 153600,  block: 3001,  Reward: 44.0 Cleared lines: 1199, col: 702/215/21/1 
Epoch: 9 / 3000, Score: 152700,  block: 3001,  Reward: 44.5 Cleared lines: 1196, col: 735/198/19/2 
Epoch: 10 / 3000, Score: 156900,  block: 3001,  Reward: 45.8 Cleared lines: 1198, col: 729/190/27/2 
Epoch: 11 / 3000, Score: 152700,  block: 3001,  Reward: 41.9 Cleared lines: 1197, col: 729/203/18/2 
Epoch: 12 / 3000, Score: 151100,  block: 3001,  Reward: 43.6 Cleared lines: 1197, col: 752/193/17/2 
Epoch: 13 / 3000, Score: 107900,  block: 2180,  Reward: 29.8 Cleared lines: 858, col: 521/147/13/1 
Epoch: 14 / 3000, Score: 152300,  block: 3001,  Reward: 42.9 Cleared lines: 1197, col: 782/169/23/2 
Epoch: 15 / 3000, Score: 92600,  block: 1883,  Reward: 25.1 Cleared lines: 737, col: 455/121/12/1 
Epoch: 16 / 3000, Score: 25900,  block: 603,  Reward: 6.3 Cleared lines: 224, col: 127/44/3/0 
Epoch: 17 / 3000, Score: 62400,  block: 1324,  Reward: 17.0 Cleared lines: 513, col: 324/85/5/1 
Epoch: 18 / 3000, Score: 151300,  block: 3001,  Reward: 43.0 Cleared lines: 1198, col: 742/200/16/2 
Epoch: 19 / 3000, Score: 140800,  block: 2804,  Reward: 40.6 Cleared lines: 1104, col: 691/185/9/4 
Epoch: 20 / 3000, Score: 149900,  block: 2742,  Reward: 43.7 Cleared lines: 1080, col: 623/181/25/5 
Epoch: 21 / 3000, Score: 24700,  block: 599,  Reward: 6.6 Cleared lines: 222, col: 136/40/2/0 
Epoch: 22 / 3000, Score: 152200,  block: 3001,  Reward: 42.7 Cleared lines: 1194, col: 748/189/20/2 
Epoch: 23 / 3000, Score: 151600,  block: 3001,  Reward: 44.0 Cleared lines: 1198, col: 754/191/18/2 
Epoch: 24 / 3000, Score: 154400,  block: 3001,  Reward: 42.2 Cleared lines: 1189, col: 707/204/22/2 
Epoch: 25 / 3000, Score: 153500,  block: 3001,  Reward: 43.6 Cleared lines: 1194, col: 755/185/19/3 
Epoch: 26 / 3000, Score: 148300,  block: 3001,  Reward: 43.8 Cleared lines: 1199, col: 763/192/16/1 
Epoch: 27 / 3000, Score: 19400,  block: 437,  Reward: 5.2 Cleared lines: 161, col: 86/30/5/0 
Epoch: 28 / 3000, Score: 125600,  block: 2586,  Reward: 36.4 Cleared lines: 1017, col: 653/159/14/1 
Epoch: 29 / 3000, Score: 154100,  block: 3001,  Reward: 44.0 Cleared lines: 1192, col: 746/187/20/3 
Epoch: 30 / 3000, Score: 165600,  block: 3001,  Reward: 47.4 Cleared lines: 1191, col: 690/205/21/7 
