start...
Epoch: 1 / 10000, Score: -1300,  block: 22,  Reward: -0.9295 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 10000, Score: -1300,  block: 21,  Reward: -0.9085 Cleared lines: 0, col: 0/0/0/0 
Epoch: 3 / 10000, Score: -1300,  block: 21,  Reward: -0.9253 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 10000, Score: -1300,  block: 27,  Reward: -0.9330 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 10000, Score: -1300,  block: 24,  Reward: -0.8985 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 10000, Score: -1300,  block: 19,  Reward: -0.9572 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 10000, Score: -1300,  block: 29,  Reward: -0.8913 Cleared lines: 0, col: 0/0/0/0 
Epoch: 8 / 10000, Score: -1300,  block: 25,  Reward: -0.9014 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 10000, Score: -1300,  block: 21,  Reward: -0.9073 Cleared lines: 0, col: 0/0/0/0 
Epoch: 10 / 10000, Score: -1300,  block: 19,  Reward: -0.9535 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 10000, Score: -1300,  block: 22,  Reward: -0.9275 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 10000, Score: -1300,  block: 24,  Reward: -0.9538 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 10000, Score: -1300,  block: 20,  Reward: -0.9308 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 10000, Score: -1300,  block: 24,  Reward: -0.9570 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 10000, Score: -1300,  block: 16,  Reward: -0.9193 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 10000, Score: -1300,  block: 21,  Reward: -0.9343 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 10000, Score: -1300,  block: 23,  Reward: -0.8935 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 10000, Score: -1300,  block: 20,  Reward: -0.9418 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 10000, Score: -1300,  block: 25,  Reward: -0.8783 Cleared lines: 0, col: 0/0/0/0 
Epoch: 20 / 10000, Score: -1300,  block: 26,  Reward: -0.9053 Cleared lines: 0, col: 0/0/0/0 
Epoch: 21 / 10000, Score: -1300,  block: 21,  Reward: -0.9554 Cleared lines: 0, col: 0/0/0/0 
Epoch: 22 / 10000, Score: -1300,  block: 23,  Reward: -0.9345 Cleared lines: 0, col: 0/0/0/0 
Epoch: 23 / 10000, Score: -1300,  block: 18,  Reward: -0.9480 Cleared lines: 0, col: 0/0/0/0 
Epoch: 24 / 10000, Score: -1300,  block: 16,  Reward: -0.9176 Cleared lines: 0, col: 0/0/0/0 
Epoch: 25 / 10000, Score: -1300,  block: 18,  Reward: -0.9620 Cleared lines: 0, col: 0/0/0/0 
Epoch: 26 / 10000, Score: -1300,  block: 20,  Reward: -0.9051 Cleared lines: 0, col: 0/0/0/0 
Epoch: 27 / 10000, Score: -1300,  block: 18,  Reward: -0.9196 Cleared lines: 0, col: 0/0/0/0 
Epoch: 28 / 10000, Score: -1300,  block: 29,  Reward: -0.8972 Cleared lines: 0, col: 0/0/0/0 
Epoch: 29 / 10000, Score: -1300,  block: 26,  Reward: -0.8974 Cleared lines: 0, col: 0/0/0/0 
Epoch: 30 / 10000, Score: -1300,  block: 19,  Reward: -0.9348 Cleared lines: 0, col: 0/0/0/0 
Epoch: 31 / 10000, Score: -1300,  block: 15,  Reward: -0.9356 Cleared lines: 0, col: 0/0/0/0 
Epoch: 32 / 10000, Score: -1300,  block: 19,  Reward: -0.8978 Cleared lines: 0, col: 0/0/0/0 
Epoch: 33 / 10000, Score: -1300,  block: 17,  Reward: -0.9344 Cleared lines: 0, col: 0/0/0/0 
Epoch: 34 / 10000, Score: -1300,  block: 23,  Reward: -0.9219 Cleared lines: 0, col: 0/0/0/0 
Epoch: 35 / 10000, Score: -1300,  block: 11,  Reward: -0.9591 Cleared lines: 0, col: 0/0/0/0 
Epoch: 36 / 10000, Score: -1300,  block: 26,  Reward: -0.9331 Cleared lines: 0, col: 0/0/0/0 
Epoch: 37 / 10000, Score: -1300,  block: 19,  Reward: -0.9259 Cleared lines: 0, col: 0/0/0/0 
Epoch: 38 / 10000, Score: -1300,  block: 22,  Reward: -0.9209 Cleared lines: 0, col: 0/0/0/0 
Epoch: 39 / 10000, Score: -1300,  block: 26,  Reward: -0.9215 Cleared lines: 0, col: 0/0/0/0 
Epoch: 40 / 10000, Score: -1300,  block: 19,  Reward: -0.9217 Cleared lines: 0, col: 0/0/0/0 
Epoch: 41 / 10000, Score: -1300,  block: 26,  Reward: -0.9503 Cleared lines: 0, col: 0/0/0/0 
Epoch: 42 / 10000, Score: -1300,  block: 21,  Reward: -0.8913 Cleared lines: 0, col: 0/0/0/0 
Epoch: 43 / 10000, Score: -1300,  block: 20,  Reward: -0.9131 Cleared lines: 0, col: 0/0/0/0 
Epoch: 44 / 10000, Score: -1300,  block: 18,  Reward: -0.9676 Cleared lines: 0, col: 0/0/0/0 
Epoch: 45 / 10000, Score: -1300,  block: 24,  Reward: -0.9235 Cleared lines: 0, col: 0/0/0/0 
