start...
Epoch: 1 / 5000, Score: -500,  block: 20,  Reward: -6368.0 Cleared lines: 0
Epoch: 2 / 5000, Score: -500,  block: 23,  Reward: -6626.0 Cleared lines: 0
Epoch: 3 / 5000, Score: -500,  block: 14,  Reward: -6073.0 Cleared lines: 0
Epoch: 4 / 5000, Score: -500,  block: 21,  Reward: -6817.0 Cleared lines: 0
Epoch: 5 / 5000, Score: -500,  block: 25,  Reward: -6963.0 Cleared lines: 0
Epoch: 6 / 5000, Score: -500,  block: 23,  Reward: -7097.0 Cleared lines: 0
Epoch: 7 / 5000, Score: -500,  block: 24,  Reward: -7186.0 Cleared lines: 0
Epoch: 8 / 5000, Score: -500,  block: 24,  Reward: -6933.0 Cleared lines: 0
Epoch: 9 / 5000, Score: -500,  block: 23,  Reward: -7269.0 Cleared lines: 0
Epoch: 10 / 5000, Score: -500,  block: 18,  Reward: -6365.0 Cleared lines: 0
Epoch: 11 / 5000, Score: -500,  block: 16,  Reward: -6040.0 Cleared lines: 0
Epoch: 12 / 5000, Score: -500,  block: 26,  Reward: -7257.0 Cleared lines: 0
Epoch: 13 / 5000, Score: -500,  block: 19,  Reward: -6254.0 Cleared lines: 0
Epoch: 14 / 5000, Score: -500,  block: 21,  Reward: -6937.0 Cleared lines: 0
Epoch: 15 / 5000, Score: -500,  block: 24,  Reward: -6902.0 Cleared lines: 0
Epoch: 16 / 5000, Score: -500,  block: 19,  Reward: -6947.0 Cleared lines: 0
Epoch: 17 / 5000, Score: -500,  block: 23,  Reward: -7139.0 Cleared lines: 0
Epoch: 18 / 5000, Score: -500,  block: 23,  Reward: -7186.0 Cleared lines: 0
Epoch: 19 / 5000, Score: -500,  block: 19,  Reward: -6303.0 Cleared lines: 0
Epoch: 20 / 5000, Score: -500,  block: 24,  Reward: -6908.0 Cleared lines: 0
Epoch: 21 / 5000, Score: -500,  block: 20,  Reward: -6332.0 Cleared lines: 0
Epoch: 22 / 5000, Score: -500,  block: 23,  Reward: -6887.0 Cleared lines: 0
Epoch: 23 / 5000, Score: -500,  block: 24,  Reward: -6647.0 Cleared lines: 0
Epoch: 24 / 5000, Score: -500,  block: 27,  Reward: -7390.0 Cleared lines: 0
Epoch: 25 / 5000, Score: -500,  block: 22,  Reward: -7226.0 Cleared lines: 0
Epoch: 26 / 5000, Score: -500,  block: 25,  Reward: -6668.0 Cleared lines: 0
Epoch: 27 / 5000, Score: -500,  block: 22,  Reward: -6732.0 Cleared lines: 0
Epoch: 28 / 5000, Score: -500,  block: 19,  Reward: -6659.0 Cleared lines: 0
Epoch: 29 / 5000, Score: -500,  block: 30,  Reward: -7543.0 Cleared lines: 0
Epoch: 30 / 5000, Score: -500,  block: 22,  Reward: -6685.0 Cleared lines: 0
Epoch: 31 / 5000, Score: -500,  block: 22,  Reward: -7013.0 Cleared lines: 0
Epoch: 32 / 5000, Score: -500,  block: 23,  Reward: -7359.0 Cleared lines: 0
Epoch: 33 / 5000, Score: -500,  block: 18,  Reward: -6347.0 Cleared lines: 0
Epoch: 34 / 5000, Score: -500,  block: 23,  Reward: -6762.0 Cleared lines: 0
Epoch: 35 / 5000, Score: -500,  block: 22,  Reward: -6459.0 Cleared lines: 0
Epoch: 36 / 5000, Score: -500,  block: 27,  Reward: -7522.0 Cleared lines: 0
Epoch: 37 / 5000, Score: -500,  block: 18,  Reward: -5988.0 Cleared lines: 0
Epoch: 38 / 5000, Score: -500,  block: 28,  Reward: -7332.0 Cleared lines: 0
Epoch: 39 / 5000, Score: -500,  block: 21,  Reward: -6625.0 Cleared lines: 0
Epoch: 40 / 5000, Score: -500,  block: 25,  Reward: -7082.0 Cleared lines: 0
Epoch: 41 / 5000, Score: -500,  block: 13,  Reward: -5872.0 Cleared lines: 0
Epoch: 42 / 5000, Score: -500,  block: 18,  Reward: -6602.0 Cleared lines: 0
Epoch: 43 / 5000, Score: -500,  block: 22,  Reward: -6873.0 Cleared lines: 0
Epoch: 44 / 5000, Score: -500,  block: 18,  Reward: -6571.0 Cleared lines: 0
Epoch: 45 / 5000, Score: -300,  block: 31,  Reward: -6936.0 Cleared lines: 2
Epoch: 46 / 5000, Score: -500,  block: 23,  Reward: -7376.0 Cleared lines: 0
Epoch: 47 / 5000, Score: -500,  block: 17,  Reward: -6285.0 Cleared lines: 0
Epoch: 48 / 5000, Score: -500,  block: 19,  Reward: -6299.0 Cleared lines: 0
Epoch: 49 / 5000, Score: -500,  block: 26,  Reward: -7763.0 Cleared lines: 0
Epoch: 50 / 5000, Score: -500,  block: 26,  Reward: -7671.0 Cleared lines: 0
Epoch: 51 / 5000, Score: -500,  block: 24,  Reward: -6985.0 Cleared lines: 0
Epoch: 52 / 5000, Score: -500,  block: 26,  Reward: -7384.0 Cleared lines: 0
Epoch: 53 / 5000, Score: -500,  block: 16,  Reward: -6516.0 Cleared lines: 0
Epoch: 54 / 5000, Score: -500,  block: 17,  Reward: -6330.0 Cleared lines: 0
Epoch: 55 / 5000, Score: -400,  block: 27,  Reward: -7462.0 Cleared lines: 1
Epoch: 56 / 5000, Score: -500,  block: 21,  Reward: -6632.0 Cleared lines: 0
Epoch: 57 / 5000, Score: -500,  block: 18,  Reward: -6384.0 Cleared lines: 0
Epoch: 58 / 5000, Score: -500,  block: 26,  Reward: -6974.0 Cleared lines: 0
Epoch: 59 / 5000, Score: -500,  block: 21,  Reward: -6625.0 Cleared lines: 0
Epoch: 60 / 5000, Score: -500,  block: 21,  Reward: -6477.0 Cleared lines: 0
Epoch: 61 / 5000, Score: -400,  block: 27,  Reward: -6883.0 Cleared lines: 1
Epoch: 62 / 5000, Score: -500,  block: 25,  Reward: -7435.0 Cleared lines: 0
Epoch: 63 / 5000, Score: -500,  block: 24,  Reward: -7179.0 Cleared lines: 0
Epoch: 64 / 5000, Score: -500,  block: 25,  Reward: -7181.0 Cleared lines: 0
Epoch: 65 / 5000, Score: -500,  block: 19,  Reward: -6515.0 Cleared lines: 0
Epoch: 66 / 5000, Score: -500,  block: 16,  Reward: -6156.0 Cleared lines: 0
Epoch: 67 / 5000, Score: -500,  block: 20,  Reward: -6497.0 Cleared lines: 0
Epoch: 68 / 5000, Score: -500,  block: 26,  Reward: -7313.0 Cleared lines: 0
Epoch: 69 / 5000, Score: -500,  block: 18,  Reward: -6719.0 Cleared lines: 0
Epoch: 70 / 5000, Score: -500,  block: 20,  Reward: -6879.0 Cleared lines: 0
Epoch: 71 / 5000, Score: -500,  block: 20,  Reward: -6379.0 Cleared lines: 0
Epoch: 72 / 5000, Score: -500,  block: 23,  Reward: -7412.0 Cleared lines: 0
Epoch: 73 / 5000, Score: -500,  block: 20,  Reward: -6847.0 Cleared lines: 0
Epoch: 74 / 5000, Score: -500,  block: 27,  Reward: -7055.0 Cleared lines: 0
Epoch: 75 / 5000, Score: -500,  block: 19,  Reward: -6502.0 Cleared lines: 0
Epoch: 76 / 5000, Score: -500,  block: 19,  Reward: -6542.0 Cleared lines: 0
Epoch: 77 / 5000, Score: -500,  block: 20,  Reward: -6881.0 Cleared lines: 0
Epoch: 78 / 5000, Score: -500,  block: 28,  Reward: -7392.0 Cleared lines: 0
